Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 5.284240e-001  6.324629e+002  1.707187e+001
 5.310590e-001  6.269787e+002  1.728697e+001
 5.336940e-001  6.181028e+002  1.738344e+001
 5.363280e-001  6.179331e+002  1.728713e+001
 5.389630e-001  6.022509e+002  1.724755e+001
 5.415970e-001  6.017837e+002  1.154945e+001
 5.442320e-001  6.088115e+002  9.253361e+000
 5.468670e-001  6.104091e+002  9.153564e+000
 5.495010e-001  6.007225e+002  9.109232e+000
 5.521360e-001  5.904397e+002  9.042666e+000
 5.547710e-001  5.858064e+002  9.001423e+000
 5.574050e-001  5.801127e+002  8.917772e+000
 5.600400e-001  5.815372e+002  8.772321e+000
 5.626750e-001  5.766844e+002  8.705554e+000
 5.653090e-001  5.797801e+002  8.654360e+000
 5.679440e-001  5.770511e+002  8.591424e+000
 5.705790e-001  5.652029e+002  8.413070e+000
 5.732130e-001  5.618383e+002  8.359717e+000
 5.758480e-001  5.607353e+002  8.396534e+000
 5.784830e-001  5.519834e+002  8.307868e+000
 5.811170e-001  5.551893e+002  8.228066e+000
 5.837520e-001  5.433790e+002  8.178282e+000
 5.863870e-001  5.380155e+002  8.150869e+000
 5.890210e-001  5.367827e+002  8.129721e+000
 5.916560e-001  5.346264e+002  8.094380e+000
 5.942910e-001  5.364386e+002  8.074411e+000
 5.969250e-001  5.374605e+002  8.051490e+000
 5.995600e-001  5.285868e+002  7.993698e+000
 6.021950e-001  5.256360e+002  7.944286e+000
 6.048290e-001  5.192495e+002  7.904118e+000
 6.074640e-001  5.167245e+002  7.839679e+000
 6.100980e-001  5.128609e+002  7.875909e+000
 6.127330e-001  5.202412e+002  7.823030e+000
 6.153680e-001  5.149946e+002  7.803936e+000
 6.180020e-001  5.063746e+002  7.778742e+000
 6.206370e-001  5.022807e+002  7.751107e+000
 6.232720e-001  4.934451e+002  7.731230e+000
 6.259060e-001  4.954987e+002  7.658307e+000
 6.285410e-001  4.891846e+002  7.650004e+000
 6.311760e-001  4.780348e+002  7.530713e+000
 6.338100e-001  4.810612e+002  7.513940e+000
 6.364450e-001  4.764820e+002  7.478332e+000
 6.390800e-001  4.770175e+002  7.471330e+000
 6.417140e-001  4.768223e+002  7.491070e+000
 6.443490e-001  4.733060e+002  7.420984e+000
 6.469840e-001  4.623323e+002  7.326040e+000
 6.496180e-001  4.642496e+002  7.346941e+000
 6.522530e-001  4.611284e+002  7.259993e+000
 6.548880e-001  4.568754e+002  7.249545e+000
 6.575220e-001  4.494150e+002  7.134500e+000
 6.601570e-001  4.553934e+002  7.204379e+000
 6.627920e-001  4.537814e+002  7.173907e+000
 6.654260e-001  4.527289e+002  7.159169e+000
 6.680610e-001  4.359192e+002  7.131439e+000
 6.706960e-001  4.363182e+002  7.086961e+000
 6.733300e-001  4.306789e+002  7.088087e+000
 6.759650e-001  4.257144e+002  7.020912e+000
 6.786000e-001  4.273470e+002  7.053057e+000
 6.812340e-001  4.262020e+002  7.017722e+000
 6.838690e-001  4.261923e+002  6.989212e+000
 6.865030e-001  4.190369e+002  7.008114e+000
 6.891380e-001  4.154339e+002  6.926131e+000
