Sample description: Sub_Ave_harp_0077_803-Ave_Tp_0076_50
Sample: Sub_Ave_harp_00  c= 0 mg/ml  Code: 
 7.660537e-001  1.654016e-002  4.642727e-005
 7.716858e-001  1.634270e-002  4.693965e-005
 7.773178e-001  1.622599e-002  4.750213e-005
 7.829499e-001  1.589802e-002  4.792494e-005
 7.885819e-001  1.566195e-002  4.827686e-005
 7.942139e-001  1.532275e-002  4.874038e-005
 7.998459e-001  1.512046e-002  4.897911e-005
 8.054779e-001  1.500417e-002  4.790843e-005
 8.111099e-001  1.476409e-002  4.713760e-005
 8.167418e-001  1.453840e-002  4.662922e-005
 8.223737e-001  1.437563e-002  4.626306e-005
 8.280057e-001  1.417247e-002  4.598468e-005
 8.336376e-001  1.401213e-002  4.593876e-005
 8.392694e-001  1.399331e-002  4.569451e-005
 8.449013e-001  1.377234e-002  4.565880e-005
 8.505332e-001  1.357564e-002  4.559459e-005
 8.561650e-001  1.329342e-002  4.533038e-005
 8.617968e-001  1.310588e-002  4.544059e-005
 8.674286e-001  1.290170e-002  4.521907e-005
 8.730604e-001  1.263352e-002  4.515172e-005
 8.786922e-001  1.248848e-002  4.501396e-005
 8.843239e-001  1.244095e-002  4.495251e-005
 8.899557e-001  1.235215e-002  4.505297e-005
 8.955874e-001  1.212003e-002  4.481239e-005
 9.012191e-001  1.199179e-002  4.490769e-005
 9.068508e-001  1.181647e-002  4.479185e-005
 9.124824e-001  1.159780e-002  4.473000e-005
 9.181141e-001  1.137004e-002  4.468413e-005
 9.237457e-001  1.127883e-002  4.446763e-005
 9.293773e-001  1.105704e-002  4.450343e-005
 9.350089e-001  1.083688e-002  4.436610e-005
 9.406405e-001  1.068437e-002  4.429751e-005
 9.462720e-001  1.043463e-002  4.401615e-005
 9.519036e-001  1.025285e-002  4.374525e-005
 9.575351e-001  1.016345e-002  4.350061e-005
 9.631666e-001  1.012058e-002  4.325484e-005
 9.687981e-001  9.970083e-003  4.306646e-005
 9.744296e-001  9.934232e-003  4.276084e-005
 9.800610e-001  9.757890e-003  4.253002e-005
 9.856924e-001  9.584424e-003  4.235635e-005
 9.913238e-001  9.451825e-003  4.204286e-005
 9.969552e-001  9.298738e-003  4.179278e-005
 1.002587e+000  9.180569e-003  4.162103e-005
 1.008218e+000  9.074879e-003  4.143888e-005
 1.013849e+000  8.915287e-003  4.110781e-005
 1.019481e+000  8.732968e-003  4.086462e-005
 1.025112e+000  8.601871e-003  4.068357e-005
 1.030743e+000  8.534359e-003  4.042750e-005
 1.036374e+000  8.342443e-003  4.014124e-005
 1.042006e+000  8.183604e-003  3.975779e-005
 1.047637e+000  8.118214e-003  3.953930e-005
 1.053268e+000  8.007480e-003  3.920970e-005
 1.058899e+000  7.818017e-003  3.892149e-005
 1.064530e+000  7.703700e-003  3.865627e-005
 1.070162e+000  7.594205e-003  3.846014e-005
 1.075793e+000  7.492558e-003  3.829580e-005
 1.081424e+000  7.371220e-003  3.813016e-005
 1.087055e+000  7.228555e-003  3.797597e-005
 1.092686e+000  7.211729e-003  3.778682e-005
 1.098317e+000  7.094007e-003  3.762018e-005
 1.103948e+000  7.030178e-003  3.755162e-005
 1.109579e+000  6.904380e-003  3.725278e-005
 1.115210e+000  6.626173e-003  3.714265e-005
 1.120841e+000  6.547355e-003  3.692587e-005
 1.126472e+000  6.502264e-003  3.690271e-005
 1.132103e+000  6.335687e-003  3.669203e-005
 1.137733e+000  6.312545e-003  3.653586e-005
 1.143364e+000  6.274980e-003  3.651533e-005
 1.148995e+000  6.103848e-003  3.625414e-005
 1.154626e+000  5.980791e-003  3.611784e-005
 1.160257e+000  5.933331e-003  3.596403e-005
 1.165887e+000  5.878869e-003  3.586929e-005
 1.171518e+000  5.809979e-003  3.568935e-005
 1.177149e+000  5.742534e-003  3.557006e-005
 1.182780e+000  5.605464e-003  3.542239e-005
 1.188410e+000  5.510589e-003  3.529020e-005
 1.194041e+000  5.356990e-003  3.517316e-005
 1.199672e+000  5.326382e-003  3.501027e-005
 1.205302e+000  5.331926e-003  3.491726e-005
 1.210933e+000  5.243880e-003  3.479646e-005
 1.216563e+000  5.154626e-003  3.463292e-005
 1.222194e+000  4.957719e-003  3.453623e-005
 1.227824e+000  4.853773e-003  3.430453e-005
 1.233455e+000  4.795702e-003  3.425896e-005
 1.239085e+000  4.762397e-003  3.411643e-005
 1.244716e+000  4.767450e-003  3.398825e-005
 1.250346e+000  4.674041e-003  3.393612e-005
 1.255977e+000  4.575182e-003  3.373376e-005
 1.261607e+000  4.452638e-003  3.371464e-005
 1.267237e+000  4.330409e-003  3.349482e-005
 1.272868e+000  4.323206e-003  3.345088e-005
 1.278498e+000  4.271525e-003  3.337204e-005
 1.284128e+000  4.251408e-003  3.321346e-005
 1.289758e+000  4.144980e-003  3.315445e-005
 1.295389e+000  4.117963e-003  3.301000e-005
 1.301019e+000  3.977811e-003  3.288971e-005
 1.306649e+000  4.020934e-003  3.282166e-005
 1.312279e+000  4.005254e-003  3.270373e-005
 1.317909e+000  3.941821e-003  3.262623e-005
 1.323539e+000  3.815219e-003  3.244072e-005
 1.329169e+000  3.667062e-003  3.237232e-005
 1.334800e+000  3.630374e-003  3.224288e-005
 1.340430e+000  3.577746e-003  3.211445e-005
 1.346060e+000  3.546703e-003  3.207295e-005
 1.351689e+000  3.552991e-003  3.193101e-005
 1.357319e+000  3.529218e-003  3.188164e-005
 1.362949e+000  3.470772e-003  3.173169e-005
 1.368579e+000  3.405514e-003  3.166128e-005
 1.374209e+000  3.361666e-003  3.160832e-005
 1.379839e+000  3.197691e-003  3.143876e-005
 1.385469e+000  3.171854e-003  3.135637e-005
 1.391099e+000  3.151044e-003  3.126473e-005
 1.396728e+000  3.084023e-003  3.119614e-005
 1.402358e+000  2.994420e-003  3.110081e-005
 1.407988e+000  2.995403e-003  3.100589e-005
 1.413617e+000  2.945533e-003  3.092029e-005
 1.419247e+000  2.846227e-003  3.076305e-005
 1.424877e+000  2.815058e-003  3.076456e-005
 1.430506e+000  2.777953e-003  3.066116e-005
 1.436136e+000  2.782298e-003  3.059048e-005
 1.441765e+000  2.772188e-003  3.049985e-005
 1.447395e+000  2.738849e-003  3.039995e-005
 1.453024e+000  2.543480e-003  3.031069e-005
 1.458654e+000  2.513849e-003  3.017738e-005
 1.464283e+000  2.434612e-003  3.011505e-005
 1.469913e+000  2.439667e-003  3.004832e-005
 1.475542e+000  2.503909e-003  2.997838e-005
 1.481171e+000  2.453756e-003  2.988811e-005
 1.486801e+000  2.361125e-003  2.978318e-005
 1.492430e+000  2.401468e-003  2.976466e-005
 1.498059e+000  2.391525e-003  2.963174e-005
 1.503688e+000  2.365995e-003  2.957056e-005
 1.509318e+000  2.236350e-003  2.952457e-005
 1.514947e+000  2.193852e-003  2.937585e-005
 1.520576e+000  2.219190e-003  2.935997e-005
 1.526205e+000  2.209505e-003  2.924644e-005
 1.531834e+000  2.113979e-003  2.921876e-005
 1.537463e+000  2.035463e-003  2.910112e-005
 1.543092e+000  2.084016e-003  2.901401e-005
