Sample description: Sub_Ave_arc4_0073_818-Ave_Tp_0072_315
Sample: Sub_Ave_arc4_00  c= 0 mg/ml  Code: 
 7.660532e-001  2.334966e-002  4.412335e-005
 7.716853e-001  2.308834e-002  4.429017e-005
 7.773173e-001  2.297016e-002  4.453463e-005
 7.829494e-001  2.272262e-002  4.462754e-005
 7.885814e-001  2.248022e-002  4.472348e-005
 7.942134e-001  2.216690e-002  4.481978e-005
 7.998454e-001  2.195679e-002  4.485043e-005
 8.054774e-001  2.183102e-002  4.403455e-005
 8.111093e-001  2.163638e-002  4.346086e-005
 8.167413e-001  2.152212e-002  4.303721e-005
 8.223732e-001  2.135897e-002  4.268907e-005
 8.280051e-001  2.110336e-002  4.244291e-005
 8.336370e-001  2.079834e-002  4.219772e-005
 8.392689e-001  2.068365e-002  4.196478e-005
 8.449008e-001  2.041800e-002  4.174216e-005
 8.505326e-001  2.018607e-002  4.156162e-005
 8.561644e-001  2.005571e-002  4.137495e-005
 8.617962e-001  1.984541e-002  4.122947e-005
 8.674280e-001  1.965811e-002  4.106883e-005
 8.730598e-001  1.947055e-002  4.090521e-005
 8.786916e-001  1.932373e-002  4.071574e-005
 8.843233e-001  1.902701e-002  4.050543e-005
 8.899551e-001  1.884230e-002  4.037724e-005
 8.955868e-001  1.864075e-002  4.017685e-005
 9.012185e-001  1.846805e-002  4.010179e-005
 9.068502e-001  1.817149e-002  3.993497e-005
 9.124818e-001  1.796152e-002  3.976139e-005
 9.181135e-001  1.775614e-002  3.961602e-005
 9.237451e-001  1.758386e-002  3.942124e-005
 9.293767e-001  1.749187e-002  3.932664e-005
 9.350083e-001  1.743556e-002  3.922329e-005
 9.406399e-001  1.723111e-002  3.904283e-005
 9.462714e-001  1.698553e-002  3.887602e-005
 9.519030e-001  1.680142e-002  3.875219e-005
 9.575345e-001  1.659092e-002  3.856937e-005
 9.631660e-001  1.642167e-002  3.846343e-005
 9.687975e-001  1.629155e-002  3.830559e-005
 9.744289e-001  1.617565e-002  3.815814e-005
 9.800604e-001  1.603456e-002  3.803762e-005
 9.856918e-001  1.574831e-002  3.788042e-005
 9.913232e-001  1.552106e-002  3.773613e-005
 9.969546e-001  1.544807e-002  3.755203e-005
 1.002586e+000  1.528342e-002  3.745446e-005
 1.008217e+000  1.507932e-002  3.731006e-005
 1.013849e+000  1.481702e-002  3.708736e-005
 1.019480e+000  1.466610e-002  3.698137e-005
 1.025111e+000  1.469123e-002  3.685384e-005
 1.030742e+000  1.454507e-002  3.673563e-005
 1.036374e+000  1.432216e-002  3.649244e-005
 1.042005e+000  1.413284e-002  3.629658e-005
 1.047636e+000  1.388437e-002  3.614093e-005
 1.053267e+000  1.379910e-002  3.590860e-005
 1.058899e+000  1.368717e-002  3.577674e-005
 1.064530e+000  1.348611e-002  3.557877e-005
 1.070161e+000  1.330140e-002  3.544842e-005
 1.075792e+000  1.312700e-002  3.533668e-005
 1.081423e+000  1.302814e-002  3.521330e-005
 1.087054e+000  1.290188e-002  3.515404e-005
 1.092685e+000  1.276204e-002  3.498373e-005
 1.098316e+000  1.269591e-002  3.490198e-005
 1.103947e+000  1.261552e-002  3.483923e-005
 1.109578e+000  1.244236e-002  3.464116e-005
 1.115209e+000  1.221486e-002  3.457482e-005
 1.120840e+000  1.218073e-002  3.445335e-005
 1.126471e+000  1.198096e-002  3.436119e-005
 1.132102e+000  1.184080e-002  3.421250e-005
 1.137733e+000  1.174575e-002  3.410206e-005
 1.143364e+000  1.162479e-002  3.404615e-005
 1.148994e+000  1.150077e-002  3.391193e-005
 1.154625e+000  1.127991e-002  3.379628e-005
 1.160256e+000  1.114881e-002  3.367780e-005
 1.165887e+000  1.104210e-002  3.359188e-005
 1.171517e+000  1.095798e-002  3.346570e-005
 1.177148e+000  1.079296e-002  3.334518e-005
 1.182779e+000  1.068905e-002  3.325058e-005
 1.188410e+000  1.055559e-002  3.314119e-005
 1.194040e+000  1.039524e-002  3.305184e-005
 1.199671e+000  1.025007e-002  3.291625e-005
 1.205301e+000  1.015741e-002  3.282873e-005
 1.210932e+000  1.007419e-002  3.273227e-005
 1.216563e+000  9.897654e-003  3.260256e-005
 1.222193e+000  9.827526e-003  3.255600e-005
 1.227824e+000  9.732992e-003  3.241829e-005
 1.233454e+000  9.655630e-003  3.237497e-005
 1.239085e+000  9.598575e-003  3.226435e-005
 1.244715e+000  9.441456e-003  3.213369e-005
 1.250345e+000  9.260295e-003  3.206361e-005
 1.255976e+000  9.121101e-003  3.191281e-005
 1.261606e+000  8.970307e-003  3.189193e-005
 1.267236e+000  8.829043e-003  3.174320e-005
 1.272867e+000  8.796446e-003  3.168881e-005
 1.278497e+000  8.782205e-003  3.161577e-005
 1.284127e+000  8.672326e-003  3.149458e-005
 1.289758e+000  8.529378e-003  3.144953e-005
 1.295388e+000  8.424913e-003  3.132622e-005
 1.301018e+000  8.264876e-003  3.122641e-005
 1.306648e+000  8.158804e-003  3.113114e-005
 1.312278e+000  8.101075e-003  3.104095e-005
 1.317908e+000  8.026480e-003  3.100062e-005
 1.323539e+000  7.950662e-003  3.087706e-005
 1.329169e+000  7.876519e-003  3.080215e-005
 1.334799e+000  7.771759e-003  3.069443e-005
 1.340429e+000  7.640999e-003  3.060504e-005
 1.346059e+000  7.534225e-003  3.054524e-005
 1.351689e+000  7.412505e-003  3.041161e-005
 1.357319e+000  7.351270e-003  3.038015e-005
 1.362948e+000  7.250517e-003  3.026296e-005
 1.368578e+000  7.161573e-003  3.018719e-005
 1.374208e+000  7.054358e-003  3.011816e-005
 1.379838e+000  7.000844e-003  3.001057e-005
 1.385468e+000  6.935653e-003  2.994403e-005
 1.391098e+000  6.922387e-003  2.989778e-005
 1.396727e+000  6.841960e-003  2.983697e-005
 1.402357e+000  6.759828e-003  2.973691e-005
 1.407987e+000  6.539793e-003  2.962804e-005
 1.413616e+000  6.474402e-003  2.957578e-005
 1.419246e+000  6.464110e-003  2.946097e-005
 1.424876e+000  6.396494e-003  2.943050e-005
 1.430505e+000  6.380450e-003  2.934127e-005
 1.436135e+000  6.320607e-003  2.929126e-005
 1.441764e+000  6.234152e-003  2.922401e-005
 1.447394e+000  6.172918e-003  2.913104e-005
 1.453023e+000  6.107328e-003  2.907730e-005
 1.458653e+000  6.001688e-003  2.896818e-005
 1.464282e+000  5.907128e-003  2.889486e-005
 1.469912e+000  5.837062e-003  2.883690e-005
 1.475541e+000  5.733390e-003  2.875109e-005
 1.481170e+000  5.641022e-003  2.867789e-005
 1.486800e+000  5.559302e-003  2.859159e-005
 1.492429e+000  5.457891e-003  2.854214e-005
 1.498058e+000  5.347424e-003  2.843014e-005
 1.503687e+000  5.340038e-003  2.838415e-005
 1.509317e+000  5.305544e-003  2.835133e-005
 1.514946e+000  5.214053e-003  2.822997e-005
 1.520575e+000  5.113375e-003  2.820881e-005
 1.526204e+000  5.046848e-003  2.809128e-005
 1.531833e+000  5.016514e-003  2.807249e-005
 1.537462e+000  4.957888e-003  2.800214e-005
 1.543091e+000  4.927856e-003  2.791233e-005
 1.548720e+000  4.870991e-003  2.786770e-005
 1.554349e+000  4.797373e-003  2.777214e-005
 1.559978e+000  4.753988e-003  2.773491e-005
 1.565607e+000  4.749806e-003  2.766559e-005
 1.571236e+000  4.719209e-003  2.761042e-005
 1.576865e+000  4.576610e-003  2.755987e-005
 1.582493e+000  4.516940e-003  2.747539e-005
 1.588122e+000  4.493000e-003  2.744176e-005
 1.593751e+000  4.493527e-003  2.733520e-005
 1.599380e+000  4.369802e-003  2.729945e-005
 1.605008e+000  4.281098e-003  2.723169e-005
 1.610637e+000  4.185887e-003  2.711367e-005
 1.616266e+000  4.103617e-003  2.707829e-005
 1.621894e+000  4.023826e-003  2.699427e-005
 1.627523e+000  4.035165e-003  2.699168e-005
 1.633151e+000  4.043220e-003  2.695064e-005
 1.638780e+000  4.024284e-003  2.688079e-005
 1.644408e+000  4.003901e-003  2.687788e-005
 1.650037e+000  3.944506e-003  2.676267e-005
 1.655665e+000  3.810628e-003  2.669412e-005
 1.661293e+000  3.732509e-003  2.660437e-005
 1.666922e+000  3.748894e-003  2.659536e-005
 1.672550e+000  3.723341e-003  2.655692e-005
 1.678178e+000  3.687442e-003  2.648392e-005
 1.683806e+000  3.617865e-003  2.646022e-005
 1.689435e+000  3.491987e-003  2.636085e-005
 1.695063e+000  3.468196e-003  2.631981e-005
 1.700691e+000  3.532192e-003  2.630085e-005
 1.706319e+000  3.473663e-003  2.621181e-005
 1.711947e+000  3.378597e-003  2.615562e-005
 1.717575e+000  3.311674e-003  2.607256e-005
 1.723203e+000  3.244608e-003  2.604359e-005
 1.728831e+000  3.180221e-003  2.596466e-005
 1.734459e+000  3.121411e-003  2.591598e-005
 1.740087e+000  3.109335e-003  2.589183e-005
 1.745715e+000  3.111219e-003  2.582110e-005
 1.751343e+000  3.067698e-003  2.579186e-005
 1.756971e+000  2.974624e-003  2.570659e-005
 1.762598e+000  3.038990e-003  2.570298e-005
 1.768226e+000  3.055390e-003  2.566301e-005
 1.773854e+000  2.937915e-003  2.558728e-005
 1.779481e+000  2.861556e-003  2.555092e-005
 1.785109e+000  2.781767e-003  2.545143e-005
 1.790737e+000  2.722686e-003  2.543242e-005
 1.796364e+000  2.742007e-003  2.539231e-005
 1.801992e+000  2.803923e-003  2.536042e-005
 1.807619e+000  2.747737e-003  2.530669e-005
 1.813247e+000  2.732770e-003  2.523304e-005
 1.818874e+000  2.696635e-003  2.521660e-005
 1.824502e+000  2.607819e-003  2.511975e-005
 1.830129e+000  2.528420e-003  2.509905e-005
 1.835756e+000  2.492218e-003  2.507203e-005
 1.841384e+000  2.502572e-003  2.499966e-005
 1.847011e+000  2.475030e-003  2.499679e-005
 1.852638e+000  2.455516e-003  2.492194e-005
 1.858265e+000  2.384469e-003  2.490032e-005
 1.863892e+000  2.354031e-003  2.482327e-005
 1.869520e+000  2.258015e-003  2.473859e-005
 1.875147e+000  2.234260e-003  2.474161e-005
 1.880774e+000  2.242290e-003  2.467326e-005
 1.886401e+000  2.292551e-003  2.468712e-005
 1.892028e+000  2.271307e-003  2.463790e-005
 1.897655e+000  2.195093e-003  2.457348e-005
 1.903281e+000  2.236703e-003  2.456734e-005
 1.908908e+000  2.163240e-003  2.448162e-005
 1.914535e+000  2.125241e-003  2.448414e-005
 1.920162e+000  2.100067e-003  2.441190e-005
 1.925789e+000  2.047226e-003  2.436231e-005
 1.931415e+000  2.064442e-003  2.434334e-005
 1.937042e+000  1.985761e-003  2.427652e-005
 1.942669e+000  1.927560e-003  2.425824e-005
 1.948295e+000  1.952218e-003  2.420038e-005
 1.953922e+000  1.900059e-003  2.417249e-005
 1.959548e+000  1.865811e-003  2.411999e-005
 1.965175e+000  1.828053e-003  2.406935e-005
 1.970801e+000  1.886749e-003  2.405485e-005
 1.976428e+000  1.872653e-003  2.399742e-005
 1.982054e+000  1.822267e-003  2.398720e-005
 1.987680e+000  1.748493e-003  2.391114e-005
 1.993307e+000  1.678312e-003  2.386809e-005
 1.998933e+000  1.730932e-003  2.385584e-005
 2.004559e+000  1.713378e-003  2.378702e-005
 2.010185e+000  1.641522e-003  2.375835e-005
 2.015811e+000  1.609876e-003  2.370983e-005
 2.021438e+000  1.625540e-003  2.369148e-005
 2.027064e+000  1.626257e-003  2.364744e-005
 2.032690e+000  1.640402e-003  2.386300e-005
 2.038316e+000  1.645416e-003  2.417257e-005
 2.043942e+000  1.617416e-003  2.430323e-005
 2.049567e+000  1.551636e-003  2.443547e-005
 2.055193e+000  1.538517e-003  2.453367e-005
 2.060819e+000  1.472422e-003  2.462072e-005
 2.066445e+000  1.462657e-003  2.469738e-005
 2.072071e+000  1.477876e-003  2.498167e-005
 2.077696e+000  1.475674e-003  2.545731e-005
 2.083322e+000  1.498775e-003  2.571932e-005
 2.088948e+000  1.416588e-003  2.592947e-005
 2.094573e+000  1.341921e-003  2.606431e-005
 2.100199e+000  1.329207e-003  2.619253e-005
 2.105824e+000  1.344574e-003  2.635067e-005
 2.111450e+000  1.315093e-003  2.639242e-005
