Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 5.156550e-001  1.598035e+001  2.037488e-001
 5.183900e-001  1.569200e+001  2.058117e-001
 5.211250e-001  1.589555e+001  2.072675e-001
 5.238600e-001  1.577305e+001  2.051698e-001
 5.265950e-001  1.573110e+001  2.015258e-001
 5.293310e-001  1.547377e+001  2.017125e-001
 5.320660e-001  1.496603e+001  2.011879e-001
 5.348010e-001  1.501540e+001  2.009448e-001
 5.375360e-001  1.494140e+001  1.997207e-001
 5.402710e-001  1.489900e+001  1.979636e-001
 5.430060e-001  1.472878e+001  1.979256e-001
 5.457410e-001  1.463185e+001  1.982329e-001
 5.484760e-001  1.471392e+001  1.964278e-001
 5.512110e-001  1.451178e+001  1.970175e-001
 5.539460e-001  1.441582e+001  1.939016e-001
 5.566810e-001  1.424423e+001  1.978403e-001
 5.594160e-001  1.417420e+001  1.930038e-001
 5.621520e-001  1.429612e+001  1.918859e-001
 5.648870e-001  1.422673e+001  1.975463e-001
 5.676220e-001  1.404250e+001  1.916019e-001
 5.703570e-001  1.412730e+001  1.938846e-001
 5.730920e-001  1.381917e+001  1.902466e-001
 5.758270e-001  1.317980e+001  1.845874e-001
 5.785620e-001  1.338268e+001  1.900155e-001
 5.812970e-001  1.335003e+001  1.845898e-001
 5.840320e-001  1.355550e+001  1.939025e-001
 5.867670e-001  1.368282e+001  1.872958e-001
 5.895020e-001  1.309947e+001  1.888932e-001
 5.922380e-001  1.310160e+001  1.894781e-001
 5.949730e-001  1.261053e+001  1.814779e-001
 5.977080e-001  1.306982e+001  1.879431e-001
 6.004430e-001  1.280017e+001  1.838164e-001
 6.031780e-001  1.296293e+001  1.872530e-001
 6.059130e-001  1.304995e+001  1.866724e-001
 6.086480e-001  1.277830e+001  1.862813e-001
 6.113830e-001  1.286172e+001  1.870672e-001
 6.141180e-001  1.270787e+001  1.853733e-001
 6.168530e-001  1.231788e+001  1.804486e-001
 6.195880e-001  1.201200e+001  1.778299e-001
 6.223230e-001  1.309718e+001  1.877815e-001
 6.250590e-001  1.234245e+001  1.844244e-001
 6.277940e-001  1.132478e+001  1.698307e-001
 6.305290e-001  1.195385e+001  1.787352e-001
 6.332640e-001  1.203352e+001  1.814688e-001
 6.359990e-001  1.207922e+001  1.805807e-001
 6.387340e-001  1.204027e+001  1.811001e-001
 6.414690e-001  1.164493e+001  1.752133e-001
 6.442040e-001  1.134877e+001  1.724073e-001
 6.469390e-001  1.156015e+001  1.746625e-001
 6.496740e-001  1.159045e+001  1.790156e-001
 6.524090e-001  1.091923e+001  1.697764e-001
 6.551440e-001  1.150623e+001  1.773076e-001
 6.578800e-001  1.132645e+001  1.751943e-001
 6.606150e-001  1.132367e+001  1.747717e-001
 6.633500e-001  1.108333e+001  1.735532e-001
 6.660850e-001  1.094180e+001  1.712488e-001
 6.688200e-001  1.099687e+001  1.739043e-001
 6.715550e-001  1.124268e+001  1.770275e-001
 6.742900e-001  1.057230e+001  1.721906e-001
 6.770250e-001  1.064017e+001  1.713440e-001
 6.797600e-001  1.078795e+001  1.703002e-001
