 22-Oct-2005       (fran2_072.dat - 0.970 *fran2_071.dat) /  2.0000           
fran2_072.da  Conc = .20E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_071.dat  Conc = .10E+01  Mult = .97E+00  N1 =    1  N2 = 2127  SCALE =  1
  0.729669E-01 -0.927650E+06  0.812353E+06
  0.752166E-01 -0.510685E+06  0.578419E+06
  0.774663E-01 -0.127400E+07  0.435421E+06
  0.797160E-01  0.689700E+05  0.361076E+06
  0.819657E-01  0.607735E+06  0.301148E+06
  0.842154E-01  0.238530E+06  0.281239E+06
  0.864651E-01  0.112964E+07  0.252891E+06
  0.887148E-01  0.113876E+07  0.220098E+06
  0.909645E-01  0.113666E+07  0.198900E+06
  0.932142E-01  0.739965E+06  0.181254E+06
  0.954639E-01  0.903060E+06  0.169082E+06
  0.977136E-01  0.991220E+06  0.156654E+06
  0.999633E-01  0.942135E+06  0.141431E+06
  0.102213E+00  0.106021E+07  0.130921E+06
  0.104463E+00  0.942495E+06  0.126877E+06
  0.106712E+00  0.885355E+06  0.112959E+06
  0.108962E+00  0.103418E+07  0.108004E+06
  0.111212E+00  0.110892E+07  0.100996E+06
  0.113461E+00  0.102763E+07  0.943785E+05
  0.115711E+00  0.110661E+07  0.939771E+05
  0.117961E+00  0.123409E+07  0.829098E+05
  0.120211E+00  0.106974E+07  0.801670E+05
  0.122460E+00  0.105657E+07  0.721475E+05
  0.124710E+00  0.115572E+07  0.686079E+05
  0.126960E+00  0.104074E+07  0.631058E+05
  0.129209E+00  0.101798E+07  0.568026E+05
  0.131459E+00  0.117121E+07  0.559910E+05
  0.133709E+00  0.109562E+07  0.518604E+05
  0.135958E+00  0.966994E+06  0.507816E+05
  0.138208E+00  0.905800E+06  0.482904E+05
  0.140458E+00  0.105583E+07  0.452777E+05
  0.142708E+00  0.109259E+07  0.430809E+05
  0.144957E+00  0.108531E+07  0.398307E+05
  0.147207E+00  0.111089E+07  0.390656E+05
  0.149457E+00  0.114017E+07  0.369261E+05
  0.151706E+00  0.102450E+07  0.362391E+05
  0.153956E+00  0.105188E+07  0.355181E+05
  0.156206E+00  0.102604E+07  0.332221E+05
  0.158455E+00  0.104103E+07  0.328428E+05
  0.160705E+00  0.983346E+06  0.313379E+05
  0.162955E+00  0.895452E+06  0.309573E+05
  0.165205E+00  0.980885E+06  0.297326E+05
  0.167454E+00  0.103036E+07  0.281915E+05
  0.169704E+00  0.102027E+07  0.284601E+05
  0.171954E+00  0.102588E+07  0.270432E+05
  0.174203E+00  0.102003E+07  0.264933E+05
  0.176453E+00  0.104532E+07  0.254784E+05
