
Sample:   c= 0 mg/ml  Code: 
 1.355000e+000  9.010707e-003  1.400791e-003
 1.365000e+000  9.113988e-003  1.397414e-003
 1.374000e+000  9.143577e-003  1.396028e-003
 1.384000e+000  8.809873e-003  1.392580e-003
 1.394000e+000  7.790573e-003  1.394170e-003
 1.404000e+000  5.592328e-003  1.388451e-003
 1.413000e+000  8.479736e-003  1.379964e-003
 1.423000e+000  8.127915e-003  1.373113e-003
 1.433000e+000  7.059192e-003  1.377770e-003
 1.443000e+000  7.220684e-003  1.376122e-003
 1.452000e+000  6.151641e-003  1.369629e-003
 1.462000e+000  7.444272e-003  1.369330e-003
 1.472000e+000  6.474531e-003  1.372670e-003
 1.481000e+000  5.614340e-003  1.370194e-003
 1.491000e+000  5.852860e-003  1.362112e-003
 1.501000e+000  6.417665e-003  1.356319e-003
 1.511000e+000  5.738099e-003  1.350031e-003
 1.520000e+000  4.735205e-003  1.351380e-003
 1.530000e+000  6.867464e-003  1.345513e-003
 1.540000e+000  4.422350e-003  1.336160e-003
 1.549000e+000  5.501447e-003  1.334874e-003
 1.559000e+000  7.153709e-003  1.327864e-003
 1.569000e+000  5.679389e-003  1.329078e-003
 1.579000e+000  4.941957e-003  1.316734e-003
 1.588000e+000  4.019238e-003  1.311845e-003
 1.598000e+000  3.912326e-003  1.306078e-003
 1.608000e+000  5.494811e-003  1.301062e-003
 1.618000e+000  3.292151e-003  1.293024e-003
 1.627000e+000  3.387185e-003  1.281557e-003
 1.637000e+000  5.811488e-003  1.276751e-003
 1.647000e+000  5.593613e-003  1.268013e-003
 1.656000e+000  3.400957e-003  1.261085e-003
 1.666000e+000  3.940078e-003  1.252040e-003
 1.676000e+000  3.272897e-003  1.236971e-003
 1.686000e+000  3.082665e-003  1.228929e-003
 1.695000e+000  2.960339e-003  1.221900e-003
 1.705000e+000  2.422443e-003  1.205894e-003
 1.715000e+000  3.393169e-003  1.195318e-003
 1.725000e+000  3.174018e-003  1.183682e-003
 1.734000e+000  2.973840e-003  1.171802e-003
 1.744000e+000  3.185163e-003  1.166632e-003
 1.754000e+000  2.771114e-003  1.152489e-003
 1.763000e+000  3.200134e-003  1.141863e-003
 1.773000e+000  3.283476e-003  1.134566e-003
 1.783000e+000  1.658069e-003  1.117275e-003
 1.793000e+000  1.206009e-003  1.111997e-003
 1.802000e+000  3.694531e-003  1.099267e-003
 1.812000e+000  3.367381e-003  1.092906e-003
 1.822000e+000  2.873837e-003  1.085574e-003
 1.831000e+000  2.256583e-003  1.072941e-003
 1.841000e+000  1.687912e-003  1.061418e-003
 1.851000e+000  1.951314e-003  1.063138e-003
 1.861000e+000  2.004792e-003  1.061469e-003
 1.870000e+000  1.809542e-003  1.049559e-003
 1.880000e+000  2.966830e-003  1.050111e-003
 1.890000e+000  3.016518e-003  1.046594e-003
 1.900000e+000  1.135709e-003  1.040440e-003
 1.909000e+000  2.186464e-003  1.038480e-003
 1.919000e+000  2.474762e-003  1.034900e-003
 1.929000e+000  1.628802e-003  1.036005e-003
 1.938000e+000  2.312330e-003  1.037469e-003
 1.948000e+000  1.136108e-003  1.036271e-003
 1.958000e+000  7.096335e-004  1.037027e-003
 1.968000e+000  2.710183e-003  1.034292e-003
 1.977000e+000  2.603392e-003  1.038334e-003
 1.987000e+000  2.277209e-003  1.033940e-003
 1.997000e+000  2.552712e-003  1.036835e-003
 2.007000e+000  2.881147e-003  1.040610e-003
 2.016000e+000  1.678933e-003  1.043779e-003
 2.026000e+000  2.289000e-003  1.045428e-003
 2.036000e+000  7.511636e-004  1.047298e-003
 2.045000e+000  2.135884e-003  1.049067e-003
 2.055000e+000  2.381555e-003  1.048055e-003
 2.065000e+000  1.186477e-003  1.049431e-003
 2.075000e+000  2.169938e-003  1.049108e-003
 2.084000e+000  2.848931e-003  1.049080e-003
 2.094000e+000  3.046056e-003  1.050024e-003
 2.104000e+000  2.864065e-003  1.052593e-003
 2.113000e+000  2.602545e-003  1.044545e-003
 2.123000e+000  1.542120e-003  1.038045e-003
 2.133000e+000  8.956261e-004  1.037373e-003
 2.143000e+000  1.452047e-003  1.039927e-003
 2.152000e+000  1.359911e-003  1.035996e-003
 2.162000e+000  2.802999e-003  1.035639e-003
 2.172000e+000  2.544164e-003  1.026563e-003
 2.182000e+000  1.214695e-003  1.027340e-003
 2.191000e+000  2.012148e-003  1.028285e-003
 2.201000e+000  4.772508e-004  1.020436e-003
