Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: anx
Parent(s): sub_anxa4_016.dat sub_anxa4_010.dat sub_anxa4_008.dat
  3.936000e-01   2.911470e+01   1.252466e-01
  3.961000e-01   2.914053e+01   1.282876e-01
  3.987000e-01   2.803663e+01   1.245859e-01
  4.013000e-01   2.950663e+01   1.258971e-01
  4.039000e-01   3.018306e+01   1.219912e-01
  4.065000e-01   2.954067e+01   1.222116e-01
  4.091000e-01   3.094043e+01   1.239173e-01
  4.117000e-01   2.948902e+01   1.207871e-01
  4.142000e-01   2.776672e+01   1.201013e-01
  4.168000e-01   2.890411e+01   1.194223e-01
  4.194000e-01   2.994990e+01   1.198048e-01
  4.220000e-01   2.859328e+01   1.205324e-01
  4.246000e-01   2.836797e+01   1.156479e-01
  4.272000e-01   2.853601e+01   1.192818e-01
  4.297000e-01   2.817318e+01   1.171371e-01
  4.323000e-01   2.831207e+01   1.184996e-01
  4.349000e-01   2.802023e+01   1.176142e-01
  4.375000e-01   2.787037e+01   1.152051e-01
  4.401000e-01   2.769582e+01   1.181232e-01
  4.427000e-01   2.762174e+01   1.140614e-01
  4.453000e-01   2.759088e+01   1.163973e-01
  4.478000e-01   2.734774e+01   1.159200e-01
  4.504000e-01   2.723834e+01   1.145931e-01
  4.530000e-01   2.723251e+01   1.170022e-01
  4.556000e-01   2.719547e+01   1.139593e-01
  4.582000e-01   2.702298e+01   1.150388e-01
  4.608000e-01   2.696193e+01   1.134665e-01
  4.633000e-01   2.654767e+01   1.148571e-01
  4.659000e-01   2.660768e+01   1.153765e-01
  4.685000e-01   2.617627e+01   1.105341e-01
  4.711000e-01   2.618313e+01   1.126397e-01
  4.737000e-01   2.622565e+01   1.128764e-01
  4.763000e-01   2.605418e+01   1.139781e-01
  4.789000e-01   2.598560e+01   1.116534e-01
  4.814000e-01   2.599794e+01   1.114741e-01
  4.840000e-01   2.553944e+01   1.113180e-01
  4.866000e-01   2.546331e+01   1.116510e-01
  4.892000e-01   2.528875e+01   1.097800e-01
  4.918000e-01   2.507990e+01   1.102647e-01
  4.944000e-01   2.499760e+01   1.096151e-01
  4.969000e-01   2.511626e+01   1.096379e-01
  4.995000e-01   2.493553e+01   1.110886e-01
  5.021000e-01   2.479184e+01   1.081074e-01
  5.047000e-01   2.471948e+01   1.077858e-01
  5.073000e-01   2.451063e+01   1.092710e-01
  5.099000e-01   2.434088e+01   1.075586e-01
  5.125000e-01   2.427846e+01   1.069009e-01
  5.150000e-01   2.396228e+01   1.081652e-01
  5.176000e-01   2.372222e+01   1.055447e-01
  5.202000e-01   2.382407e+01   1.079192e-01
  5.228000e-01   2.389300e+01   1.047487e-01
  5.254000e-01   2.366324e+01   1.073471e-01
  5.280000e-01   2.357990e+01   1.061843e-01
  5.305000e-01   2.334053e+01   1.054556e-01
  5.331000e-01   2.297771e+01   1.040222e-01
  5.357000e-01   2.283573e+01   1.019809e-01
  5.383000e-01   2.311248e+01   1.068205e-01
  5.409000e-01   2.299246e+01   1.042345e-01
  5.435000e-01   2.289609e+01   1.044744e-01
  5.461000e-01   2.274486e+01   1.041594e-01
  5.486000e-01   2.252984e+01   1.022414e-01
  5.512000e-01   2.263889e+01   1.064582e-01
  5.538000e-01   2.225069e+01   1.043611e-01
  5.564000e-01   2.235288e+01   1.029469e-01
  5.590000e-01   2.212860e+01   1.067056e-01
  5.616000e-01   2.214472e+01   1.024373e-01
  5.641000e-01   2.171845e+01   1.065446e-01
  5.667000e-01   2.187723e+01   1.028680e-01
  5.693000e-01   2.178704e+01   1.040847e-01
  5.719000e-01   2.166118e+01   1.048828e-01
  5.745000e-01   2.160151e+01   1.037228e-01
  5.771000e-01   2.158471e+01   1.070251e-01
  5.797000e-01   2.118964e+01   1.014434e-01
  5.822000e-01   2.134362e+01   1.053537e-01
  5.848000e-01   2.101783e+01   1.052391e-01
  5.874000e-01   2.102812e+01   1.033145e-01
  5.900000e-01   2.085871e+01   1.060755e-01
  5.926000e-01   2.067044e+01   1.027316e-01
  5.952000e-01   2.038546e+01   1.040892e-01
  5.977000e-01   2.039952e+01   1.036726e-01
  6.003000e-01   2.036763e+01   1.023337e-01
  6.029000e-01   2.024005e+01   1.044099e-01
  6.055000e-01   2.005796e+01   1.033366e-01
  6.081000e-01   2.021022e+01   1.047839e-01
  6.107000e-01   1.998080e+01   1.023735e-01
  6.133000e-01   1.979904e+01   1.026203e-01
  6.158000e-01   1.970473e+01   1.042428e-01
  6.184000e-01   1.963752e+01   1.034967e-01
  6.210000e-01   1.956447e+01   1.033560e-01
  6.236000e-01   1.952743e+01   1.036094e-01
  6.262000e-01   1.947188e+01   1.026033e-01
  6.288000e-01   1.913306e+01   1.025376e-01
  6.313000e-01   1.906550e+01   1.028819e-01
  6.339000e-01   1.910768e+01   1.033539e-01
  6.365000e-01   1.882476e+01   1.016903e-01
  6.391000e-01   1.885219e+01   1.027995e-01
  6.417000e-01   1.867970e+01   1.030626e-01
  6.443000e-01   1.855933e+01   1.013476e-01
  6.469000e-01   1.845508e+01   1.015106e-01
  6.494000e-01   1.841152e+01   1.021291e-01
  6.520000e-01   1.820165e+01   1.025147e-01
  6.546000e-01   1.816049e+01   1.011781e-01
  6.572000e-01   1.786214e+01   1.014560e-01
  6.598000e-01   1.818621e+01   1.014669e-01
  6.624000e-01   1.785048e+01   1.018448e-01
  6.650000e-01   1.760597e+01   1.007687e-01
  6.675000e-01   1.764026e+01   1.003881e-01
  6.701000e-01   1.765261e+01   1.020379e-01
  6.727000e-01   1.738820e+01   1.006344e-01
  6.753000e-01   1.739918e+01   1.009603e-01
  6.779000e-01   1.719376e+01   9.952635e-02
  6.805000e-01   1.703292e+01   1.001458e-01
  6.830000e-01   1.699897e+01   1.012387e-01
  6.856000e-01   1.692833e+01   1.001326e-01
  6.882000e-01   1.673285e+01   9.961623e-02
  6.908000e-01   1.668416e+01   9.884682e-02
  6.934000e-01   1.661077e+01   9.934787e-02
  6.960000e-01   1.649588e+01   1.017921e-01
  6.985000e-01   1.644204e+01   9.769835e-02
  7.011000e-01   1.617901e+01   9.973314e-02
  7.037000e-01   1.626303e+01   9.897449e-02
  7.063000e-01   1.631379e+01   9.985447e-02
  7.089000e-01   1.597154e+01   9.831676e-02
  7.115000e-01   1.594787e+01   9.817401e-02
  7.141000e-01   1.593621e+01   9.993350e-02
  7.166000e-01   1.592730e+01   9.880202e-02
  7.192000e-01   1.575000e+01   9.904252e-02
  7.218000e-01   1.541941e+01   9.859587e-02
  7.244000e-01   1.534499e+01   9.610757e-02
  7.270000e-01   1.529321e+01   9.904387e-02
  7.296000e-01   1.542970e+01   9.749289e-02
  7.322000e-01   1.497634e+01   9.678575e-02
  7.347000e-01   1.492147e+01   9.833361e-02
  7.373000e-01   1.504938e+01   9.712000e-02
  7.399000e-01   1.496982e+01   9.866211e-02
  7.425000e-01   1.491427e+01   9.487243e-02
  7.451000e-01   1.465021e+01   9.753123e-02
  7.477000e-01   1.447874e+01   9.640280e-02
