Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: null
Parent(s): sub01.dat sub02.dat sub03.dat
 6.911578e-001  1.114275e+001  6.864662e-002
 6.958612e-001  1.083319e+001  6.794223e-002
 7.005646e-001  1.097456e+001  6.745302e-002
 7.052679e-001  1.089887e+001  6.674497e-002
 7.099713e-001  1.040644e+001  6.630214e-002
 7.146747e-001  1.004620e+001  6.604433e-002
 7.193780e-001  1.034482e+001  6.539507e-002
 7.240814e-001  9.998924e+000  6.530713e-002
 7.287848e-001  9.657444e+000  6.457916e-002
 7.334881e-001  9.885462e+000  6.388807e-002
 7.381915e-001  9.663081e+000  6.325191e-002
 7.428949e-001  9.568859e+000  6.294365e-002
 7.475982e-001  9.459465e+000  6.253571e-002
 7.523016e-001  9.250997e+000  6.197664e-002
 7.570050e-001  9.133059e+000  6.164103e-002
 7.617084e-001  9.064974e+000  6.135136e-002
 7.664117e-001  8.887929e+000  6.082941e-002
 7.711151e-001  8.778790e+000  6.043207e-002
 7.758185e-001  8.569710e+000  5.979145e-002
 7.805218e-001  8.376904e+000  5.934559e-002
 7.852252e-001  8.318276e+000  5.908433e-002
 7.899286e-001  8.267574e+000  5.877137e-002
 7.946319e-001  8.089183e+000  5.831696e-002
 7.993353e-001  8.037424e+000  5.808524e-002
 8.040387e-001  7.933141e+000  5.778106e-002
 8.087420e-001  7.789560e+000  5.728234e-002
 8.134454e-001  7.643204e+000  5.683970e-002
 8.181488e-001  7.565344e+000  5.658754e-002
 8.228521e-001  7.512749e+000  5.633408e-002
 8.275555e-001  7.425435e+000  5.602071e-002
 8.322589e-001  7.266124e+000  5.558492e-002
 8.369622e-001  7.056684e+000  5.500505e-002
 8.416656e-001  7.166025e+000  5.513391e-002
 8.463690e-001  6.935633e+000  5.451586e-002
 8.510723e-001  6.855489e+000  5.423911e-002
 8.557757e-001  6.740805e+000  5.383371e-002
 8.604791e-001  6.639361e+000  5.350748e-002
 8.651824e-001  6.503541e+000  5.316241e-002
 8.698858e-001  6.499178e+000  5.296802e-002
 8.745892e-001  6.319550e+000  5.248956e-002
 8.792925e-001  6.231241e+000  5.217003e-002
 8.839959e-001  6.205018e+000  5.205043e-002
 8.886993e-001  6.093679e+000  5.172632e-002
 8.934026e-001  6.038469e+000  5.146655e-002
 8.981060e-001  5.961549e+000  5.117769e-002
 9.028094e-001  5.860945e+000  5.087815e-002
 9.075127e-001  5.844765e+000  5.075533e-002
 9.122161e-001  5.766650e+000  5.049317e-002
 9.169195e-001  5.668734e+000  5.022728e-002
 9.216228e-001  5.505128e+000  4.972067e-002
 9.263262e-001  5.372520e+000  4.923623e-002
 9.310296e-001  5.404127e+000  4.926397e-002
 9.357329e-001  5.338353e+000  4.900717e-002
 9.404363e-001  5.302607e+000  4.881628e-002
 9.451397e-001  5.240057e+000  4.861677e-002
 9.498430e-001  5.179204e+000  4.838244e-002
 9.545464e-001  5.081088e+000  4.801511e-002
 9.592498e-001  5.110321e+000  4.802961e-002
 9.639532e-001  5.101207e+000  4.792579e-002
 9.686565e-001  4.931068e+000  4.748203e-002
 9.733599e-001  4.874090e+000  4.725942e-002
 9.780633e-001  4.771094e+000  4.688252e-002
 9.827666e-001  4.727315e+000  4.673395e-002
 9.874700e-001  4.642631e+000  4.643233e-002
 9.921734e-001  4.531011e+000  4.609700e-002
 9.968767e-001  4.567138e+000  4.610146e-002
 1.001580e+000  4.577051e+000  4.597009e-002
 1.006283e+000  4.563780e+000  4.589034e-002
 1.010987e+000  4.429334e+000  4.547123e-002
 1.015690e+000  4.395374e+000  4.538045e-002
 1.020394e+000  4.333660e+000  4.516586e-002
 1.025097e+000  4.225032e+000  4.481712e-002
 1.029800e+000  4.273019e+000  4.480740e-002
 1.034504e+000  4.178710e+000  4.458663e-002
 1.039207e+000  4.047159e+000  4.423019e-002
 1.043910e+000  4.028094e+000  4.405251e-002
 1.048614e+000  3.974871e+000  4.387856e-002
 1.053317e+000  3.921040e+000  4.365917e-002
 1.058020e+000  3.967298e+000  4.368955e-002
 1.062724e+000  3.934148e+000  4.348736e-002
 1.067427e+000  3.837904e+000  4.326642e-002
 1.072131e+000  3.815735e+000  4.311168e-002
 1.076834e+000  3.768449e+000  4.285860e-002
 1.081537e+000  3.691642e+000  4.269997e-002
 1.086241e+000  3.677664e+000  4.256625e-002
 1.090944e+000  3.618783e+000  4.232452e-002
 1.095647e+000  3.559154e+000  4.211434e-002
 1.100351e+000  3.545456e+000  4.198685e-002
