 27-May-2011       (david_102.dat - 1.0*Aver(david_101.dat,david_103.dat) /  5
david_102.da  Conc = .56E+01  N1 =    1  N2 = 2178
david_101.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
david_103.da  Conc = 0.0d+0   N1 =    1  N2 = 2178
  0.400781E+00  0.264571E+02  0.223635E+00
  0.403517E+00  0.264549E+02  0.220475E+00
  0.406252E+00  0.260344E+02  0.224206E+00
  0.408987E+00  0.257588E+02  0.216089E+00
  0.411722E+00  0.257799E+02  0.217539E+00
  0.414457E+00  0.255450E+02  0.217298E+00
  0.417192E+00  0.251264E+02  0.213709E+00
  0.419927E+00  0.252010E+02  0.216103E+00
  0.422662E+00  0.252563E+02  0.213036E+00
  0.425397E+00  0.249872E+02  0.213947E+00
  0.428132E+00  0.246626E+02  0.210731E+00
  0.430867E+00  0.244336E+02  0.208741E+00
  0.433603E+00  0.242839E+02  0.209167E+00
  0.436338E+00  0.239590E+02  0.205285E+00
  0.439073E+00  0.239767E+02  0.208863E+00
  0.441808E+00  0.237682E+02  0.204253E+00
  0.444543E+00  0.237188E+02  0.202700E+00
  0.447278E+00  0.238112E+02  0.206413E+00
  0.450013E+00  0.233857E+02  0.200619E+00
  0.452748E+00  0.232366E+02  0.202986E+00
  0.455483E+00  0.229387E+02  0.198585E+00
  0.458218E+00  0.228421E+02  0.198170E+00
  0.460953E+00  0.227214E+02  0.199448E+00
  0.463688E+00  0.224176E+02  0.197821E+00
  0.466424E+00  0.221346E+02  0.195194E+00
  0.469159E+00  0.223652E+02  0.194689E+00
  0.471894E+00  0.219508E+02  0.194036E+00
  0.474629E+00  0.216580E+02  0.192800E+00
  0.477364E+00  0.216647E+02  0.192531E+00
  0.480099E+00  0.215059E+02  0.190269E+00
  0.482834E+00  0.214375E+02  0.189940E+00
  0.485569E+00  0.210309E+02  0.188959E+00
  0.488304E+00  0.211240E+02  0.188335E+00
  0.491039E+00  0.207654E+02  0.184614E+00
  0.493774E+00  0.204964E+02  0.184691E+00
  0.496509E+00  0.204197E+02  0.184345E+00
  0.499245E+00  0.204401E+02  0.184778E+00
  0.501980E+00  0.203810E+02  0.182364E+00
  0.504715E+00  0.201816E+02  0.183193E+00
  0.507450E+00  0.200888E+02  0.181206E+00
  0.510185E+00  0.196407E+02  0.179724E+00
  0.512920E+00  0.197951E+02  0.179359E+00
  0.515655E+00  0.194360E+02  0.176773E+00
  0.518390E+00  0.192420E+02  0.177231E+00
  0.521125E+00  0.192675E+02  0.177704E+00
  0.523860E+00  0.193658E+02  0.177820E+00
  0.526595E+00  0.188821E+02  0.174124E+00
  0.529331E+00  0.187569E+02  0.173399E+00
  0.532066E+00  0.186151E+02  0.172907E+00
  0.534801E+00  0.184218E+02  0.172356E+00
  0.537536E+00  0.184564E+02  0.171673E+00
  0.540271E+00  0.179673E+02  0.168928E+00
  0.543006E+00  0.180866E+02  0.169557E+00
  0.545741E+00  0.177823E+02  0.168941E+00
  0.548476E+00  0.177951E+02  0.167166E+00
  0.551211E+00  0.177090E+02  0.168613E+00
  0.553946E+00  0.176698E+02  0.166171E+00
  0.556681E+00  0.173408E+02  0.166689E+00
  0.559416E+00  0.172889E+02  0.163818E+00
  0.562152E+00  0.170422E+02  0.162520E+00
  0.564887E+00  0.171660E+02  0.165883E+00
  0.567622E+00  0.169918E+02  0.162270E+00
  0.570357E+00  0.166270E+02  0.162245E+00
  0.573092E+00  0.166947E+02  0.160685E+00
  0.575827E+00  0.162619E+02  0.156509E+00
  0.578562E+00  0.162680E+02  0.159733E+00
  0.581297E+00  0.157759E+02  0.154099E+00
  0.584032E+00  0.164008E+02  0.162066E+00
  0.586767E+00  0.158916E+02  0.155899E+00
  0.589502E+00  0.158423E+02  0.157257E+00
  0.592238E+00  0.157180E+02  0.157223E+00
  0.594973E+00  0.155720E+02  0.152285E+00
  0.597708E+00  0.155555E+02  0.155647E+00
  0.600443E+00  0.152462E+02  0.152449E+00
  0.603178E+00  0.154271E+02  0.154928E+00
  0.605913E+00  0.152181E+02  0.153963E+00
  0.608648E+00  0.150781E+02  0.153228E+00
  0.611383E+00  0.151145E+02  0.153706E+00
  0.614118E+00  0.149792E+02  0.152017E+00
  0.616853E+00  0.146256E+02  0.148375E+00
  0.619588E+00  0.143093E+02  0.146651E+00
  0.622323E+00  0.145662E+02  0.150759E+00
  0.625059E+00  0.145402E+02  0.151051E+00
  0.627794E+00  0.136948E+02  0.139010E+00
  0.630529E+00  0.141408E+02  0.145721E+00
  0.633264E+00  0.142923E+02  0.148119E+00
  0.635999E+00  0.140197E+02  0.146329E+00
  0.638734E+00  0.137396E+02  0.146153E+00
  0.641469E+00  0.136829E+02  0.142402E+00
  0.644204E+00  0.131872E+02  0.139124E+00
  0.646939E+00  0.133693E+02  0.141399E+00
  0.649674E+00  0.136270E+02  0.144810E+00
  0.652409E+00  0.128123E+02  0.136762E+00
  0.655144E+00  0.132548E+02  0.141540E+00
  0.657880E+00  0.130675E+02  0.140619E+00
  0.660615E+00  0.129521E+02  0.139680E+00
  0.663350E+00  0.126775E+02  0.138473E+00
  0.666085E+00  0.125973E+02  0.137085E+00
  0.668820E+00  0.123254E+02  0.136721E+00
  0.671555E+00  0.125390E+02  0.139055E+00
  0.674290E+00  0.124142E+02  0.136514E+00
  0.677025E+00  0.121280E+02  0.134950E+00
  0.679760E+00  0.123895E+02  0.135172E+00
  0.682495E+00  0.123191E+02  0.136793E+00
  0.685230E+00  0.119204E+02  0.133815E+00
  0.687966E+00  0.121814E+02  0.136567E+00
  0.690701E+00  0.117751E+02  0.133519E+00
  0.693436E+00  0.115315E+02  0.131233E+00
  0.696171E+00  0.117356E+02  0.134285E+00
  0.698906E+00  0.117508E+02  0.133756E+00
  0.701641E+00  0.113191E+02  0.130651E+00
  0.704376E+00  0.116719E+02  0.134807E+00
  0.707111E+00  0.109742E+02  0.128449E+00
  0.709846E+00  0.111021E+02  0.129595E+00
  0.712581E+00  0.111639E+02  0.129658E+00
  0.715316E+00  0.109911E+02  0.127997E+00
  0.718051E+00  0.101769E+02  0.121562E+00
  0.720787E+00  0.109160E+02  0.129028E+00
  0.723522E+00  0.106608E+02  0.126731E+00
  0.726257E+00  0.103833E+02  0.125278E+00
  0.728992E+00  0.102721E+02  0.123268E+00
  0.731727E+00  0.999910E+01  0.123839E+00
  0.734462E+00  0.101259E+02  0.124206E+00
  0.737197E+00  0.102227E+02  0.125025E+00
  0.739932E+00  0.976817E+01  0.121497E+00
  0.742667E+00  0.101012E+02  0.124722E+00
  0.745402E+00  0.994128E+01  0.122515E+00
  0.748137E+00  0.999003E+01  0.122718E+00
  0.750872E+00  0.985662E+01  0.122683E+00
  0.753608E+00  0.952975E+01  0.120845E+00
  0.756343E+00  0.973364E+01  0.121728E+00
  0.759078E+00  0.992837E+01  0.124056E+00
  0.761813E+00  0.970282E+01  0.123835E+00
  0.764548E+00  0.936970E+01  0.119075E+00
  0.767283E+00  0.930606E+01  0.119529E+00
  0.770018E+00  0.920166E+01  0.118893E+00
  0.772753E+00  0.910624E+01  0.118096E+00
  0.775488E+00  0.899305E+01  0.117002E+00
  0.778223E+00  0.899848E+01  0.117013E+00
  0.780958E+00  0.906384E+01  0.118483E+00
  0.783694E+00  0.868608E+01  0.115908E+00
  0.786429E+00  0.858280E+01  0.113653E+00
