 18-Jun-2007       (jari_010.dat - 1.0*jari_011.dat) /  7.8000
jari_010.dat  Conc = .78E+01  N1 =    1  N2 = 2154
jari_011.dat  Conc = 0.0d+0   N1 =    1  N2 = 2154
  0.485262E+00  0.698806E+02  0.354024E+00
  0.487579E+00  0.700355E+02  0.358346E+00
  0.489896E+00  0.703696E+02  0.351273E+00
  0.492213E+00  0.689915E+02  0.351631E+00
  0.494530E+00  0.691210E+02  0.350999E+00
  0.496847E+00  0.694345E+02  0.348981E+00
  0.499164E+00  0.690351E+02  0.349931E+00
  0.501481E+00  0.694827E+02  0.345839E+00
  0.503798E+00  0.687377E+02  0.347634E+00
  0.506115E+00  0.681158E+02  0.347142E+00
  0.508432E+00  0.679323E+02  0.342301E+00
  0.510749E+00  0.674664E+02  0.343093E+00
  0.513066E+00  0.676864E+02  0.339306E+00
  0.515383E+00  0.670873E+02  0.340673E+00
  0.517700E+00  0.667415E+02  0.339973E+00
  0.520017E+00  0.670819E+02  0.335773E+00
  0.522334E+00  0.658321E+02  0.335028E+00
  0.524651E+00  0.653985E+02  0.331582E+00
  0.526968E+00  0.655135E+02  0.335584E+00
  0.529285E+00  0.657256E+02  0.331219E+00
  0.531602E+00  0.653659E+02  0.332018E+00
  0.533919E+00  0.658718E+02  0.330986E+00
  0.536236E+00  0.655026E+02  0.329349E+00
  0.538553E+00  0.650951E+02  0.329390E+00
  0.540870E+00  0.648159E+02  0.325025E+00
  0.543187E+00  0.642742E+02  0.328628E+00
  0.545504E+00  0.645128E+02  0.326443E+00
  0.547821E+00  0.650285E+02  0.325211E+00
  0.550138E+00  0.637760E+02  0.325177E+00
  0.552455E+00  0.638365E+02  0.321447E+00
  0.554772E+00  0.635314E+02  0.324944E+00
  0.557089E+00  0.632888E+02  0.319797E+00
  0.559406E+00  0.633506E+02  0.318641E+00
  0.561723E+00  0.628427E+02  0.320840E+00
  0.564040E+00  0.625060E+02  0.317097E+00
  0.566358E+00  0.622503E+02  0.319496E+00
  0.568675E+00  0.618572E+02  0.312939E+00
  0.570992E+00  0.621836E+02  0.316085E+00
  0.573309E+00  0.614618E+02  0.316133E+00
  0.575626E+00  0.611142E+02  0.314450E+00
  0.577943E+00  0.604671E+02  0.314452E+00
  0.580260E+00  0.609221E+02  0.307471E+00
  0.582577E+00  0.611967E+02  0.311855E+00
  0.584894E+00  0.606596E+02  0.309889E+00
  0.587211E+00  0.603605E+02  0.310546E+00
  0.589528E+00  0.605868E+02  0.309062E+00
  0.591845E+00  0.597499E+02  0.305499E+00
  0.594162E+00  0.599937E+02  0.308954E+00
  0.596479E+00  0.592260E+02  0.303453E+00
  0.598796E+00  0.590760E+02  0.305518E+00
  0.601113E+00  0.587442E+02  0.304472E+00
  0.603430E+00  0.587097E+02  0.302091E+00
  0.605747E+00  0.584937E+02  0.306105E+00
  0.608064E+00  0.585627E+02  0.299340E+00
  0.610381E+00  0.574308E+02  0.301173E+00
  0.612698E+00  0.574146E+02  0.299251E+00
  0.615015E+00  0.578436E+02  0.299418E+00
  0.617332E+00  0.580710E+02  0.300070E+00
  0.619649E+00  0.575994E+02  0.296381E+00
  0.621966E+00  0.567737E+02  0.296859E+00
  0.624283E+00  0.565347E+02  0.294720E+00
  0.626600E+00  0.563259E+02  0.295258E+00
  0.628917E+00  0.564474E+02  0.295012E+00
  0.631234E+00  0.564144E+02  0.291888E+00
  0.633551E+00  0.564465E+02  0.294672E+00
  0.635868E+00  0.560268E+02  0.289438E+00
  0.638185E+00  0.545099E+02  0.289611E+00
  0.640502E+00  0.548472E+02  0.291618E+00
  0.642819E+00  0.543510E+02  0.286830E+00
  0.645136E+00  0.540568E+02  0.289593E+00
  0.647453E+00  0.541312E+02  0.286957E+00
  0.649770E+00  0.535335E+02  0.286890E+00
  0.652087E+00  0.537350E+02  0.285165E+00
  0.654404E+00  0.536029E+02  0.287148E+00
  0.656721E+00  0.536504E+02  0.284567E+00
  0.659038E+00  0.534994E+02  0.281918E+00
  0.661355E+00  0.529076E+02  0.283926E+00
  0.663672E+00  0.529058E+02  0.282471E+00
  0.665989E+00  0.522262E+02  0.280618E+00
  0.668306E+00  0.519759E+02  0.280516E+00
  0.670623E+00  0.517479E+02  0.278588E+00
  0.672940E+00  0.512753E+02  0.281250E+00
  0.675258E+00  0.516101E+02  0.276869E+00
  0.677575E+00  0.517787E+02  0.279298E+00
  0.679892E+00  0.512871E+02  0.276469E+00
  0.682209E+00  0.511847E+02  0.276279E+00
  0.684526E+00  0.508326E+02  0.276577E+00
  0.686843E+00  0.505782E+02  0.273899E+00
  0.689160E+00  0.501271E+02  0.274551E+00
  0.691477E+00  0.495012E+02  0.271861E+00
  0.693794E+00  0.493950E+02  0.273737E+00
  0.696111E+00  0.497565E+02  0.272727E+00
  0.698428E+00  0.498873E+02  0.269191E+00
  0.700745E+00  0.495936E+02  0.272587E+00
  0.703062E+00  0.491887E+02  0.268995E+00
  0.705379E+00  0.496219E+02  0.270388E+00
  0.707696E+00  0.492128E+02  0.267917E+00
  0.710013E+00  0.487690E+02  0.267154E+00
  0.712330E+00  0.480878E+02  0.268249E+00
  0.714647E+00  0.483388E+02  0.266464E+00
  0.716964E+00  0.478644E+02  0.266914E+00
  0.719281E+00  0.481872E+02  0.265818E+00
  0.721598E+00  0.479483E+02  0.265087E+00
  0.723915E+00  0.471422E+02  0.265407E+00
  0.726232E+00  0.469000E+02  0.262444E+00
  0.728549E+00  0.465441E+02  0.263263E+00
  0.730866E+00  0.460062E+02  0.259901E+00
  0.733183E+00  0.457017E+02  0.262357E+00
  0.735500E+00  0.459440E+02  0.260292E+00
  0.737817E+00  0.462719E+02  0.259701E+00
  0.740134E+00  0.461163E+02  0.260320E+00
  0.742451E+00  0.459913E+02  0.257639E+00
  0.744768E+00  0.452492E+02  0.257081E+00
  0.747085E+00  0.454888E+02  0.257022E+00
  0.749402E+00  0.449414E+02  0.258077E+00
  0.751719E+00  0.449038E+02  0.256542E+00
  0.754036E+00  0.447342E+02  0.253697E+00
  0.756353E+00  0.437544E+02  0.255682E+00
  0.758670E+00  0.435828E+02  0.253285E+00
  0.760987E+00  0.432258E+02  0.253955E+00
  0.763304E+00  0.434828E+02  0.253835E+00
  0.765621E+00  0.435326E+02  0.250974E+00
  0.767938E+00  0.433905E+02  0.253421E+00
  0.770255E+00  0.433544E+02  0.249486E+00
  0.772572E+00  0.430344E+02  0.253135E+00
  0.774889E+00  0.433482E+02  0.250261E+00
  0.777206E+00  0.429062E+02  0.249496E+00
  0.779523E+00  0.421491E+02  0.248428E+00
  0.781840E+00  0.414706E+02  0.246695E+00
  0.784157E+00  0.420358E+02  0.248757E+00
  0.786475E+00  0.420644E+02  0.246289E+00
  0.788792E+00  0.418854E+02  0.247067E+00
  0.791109E+00  0.414964E+02  0.247973E+00
  0.793426E+00  0.411904E+02  0.243643E+00
  0.795743E+00  0.410469E+02  0.246499E+00
  0.798060E+00  0.407840E+02  0.242272E+00
  0.800377E+00  0.409876E+02  0.244877E+00
  0.802694E+00  0.403406E+02  0.243534E+00
  0.805011E+00  0.404560E+02  0.242051E+00
  0.807328E+00  0.403458E+02  0.243935E+00
  0.809645E+00  0.399545E+02  0.239902E+00
  0.811962E+00  0.397899E+02  0.241945E+00
  0.814279E+00  0.400823E+02  0.239730E+00
  0.816596E+00  0.394218E+02  0.238977E+00
  0.818913E+00  0.395151E+02  0.240689E+00
  0.821230E+00  0.390177E+02  0.237804E+00
  0.823547E+00  0.391723E+02  0.237356E+00
  0.825864E+00  0.387126E+02  0.235488E+00
  0.828181E+00  0.384349E+02  0.236519E+00
  0.830498E+00  0.383282E+02  0.236338E+00
  0.832815E+00  0.381941E+02  0.235042E+00
  0.835132E+00  0.380900E+02  0.236189E+00
  0.837449E+00  0.377496E+02  0.233062E+00
  0.839766E+00  0.375499E+02  0.234236E+00
  0.842083E+00  0.372765E+02  0.232877E+00
  0.844400E+00  0.369626E+02  0.232519E+00
  0.846717E+00  0.368655E+02  0.232983E+00
  0.849034E+00  0.369427E+02  0.231815E+00
  0.851351E+00  0.367001E+02  0.231800E+00
  0.853668E+00  0.363909E+02  0.229539E+00
  0.855985E+00  0.363123E+02  0.230171E+00
  0.858302E+00  0.359208E+02  0.230527E+00
  0.860619E+00  0.351135E+02  0.229196E+00
  0.862936E+00  0.351779E+02  0.228870E+00
  0.865253E+00  0.354660E+02  0.227395E+00
  0.867570E+00  0.352599E+02  0.228199E+00
  0.869887E+00  0.349678E+02  0.227490E+00
  0.872204E+00  0.348199E+02  0.225955E+00
  0.874521E+00  0.345971E+02  0.225943E+00
  0.876838E+00  0.345667E+02  0.224992E+00
  0.879155E+00  0.338688E+02  0.225360E+00
  0.881472E+00  0.337553E+02  0.223879E+00
  0.883789E+00  0.337399E+02  0.223841E+00
  0.886106E+00  0.337403E+02  0.223744E+00
  0.888423E+00  0.335260E+02  0.223477E+00
  0.890740E+00  0.336618E+02  0.224285E+00
  0.893057E+00  0.336140E+02  0.220772E+00
  0.895375E+00  0.335515E+02  0.222275E+00
  0.897692E+00  0.329686E+02  0.220350E+00
  0.900009E+00  0.332626E+02  0.221701E+00
  0.902326E+00  0.329213E+02  0.221454E+00
  0.904643E+00  0.326887E+02  0.219532E+00
  0.906960E+00  0.325490E+02  0.220899E+00
  0.909277E+00  0.325497E+02  0.218311E+00
  0.911594E+00  0.323092E+02  0.218518E+00
  0.913911E+00  0.323441E+02  0.218828E+00
  0.916228E+00  0.319546E+02  0.216066E+00
  0.918545E+00  0.314701E+02  0.218409E+00
  0.920862E+00  0.309636E+02  0.214923E+00
  0.923179E+00  0.310919E+02  0.216049E+00
  0.925496E+00  0.312156E+02  0.216343E+00
  0.927813E+00  0.309278E+02  0.215406E+00
  0.930130E+00  0.308490E+02  0.216671E+00
  0.932447E+00  0.304399E+02  0.212119E+00
  0.934764E+00  0.303103E+02  0.214696E+00
  0.937081E+00  0.304112E+02  0.213781E+00
  0.939398E+00  0.302317E+02  0.213382E+00
  0.941715E+00  0.299218E+02  0.213261E+00
  0.944032E+00  0.301083E+02  0.211094E+00
  0.946349E+00  0.299104E+02  0.213364E+00
  0.948666E+00  0.296147E+02  0.211545E+00
  0.950983E+00  0.301435E+02  0.210889E+00
  0.953300E+00  0.294218E+02  0.210576E+00
  0.955617E+00  0.292838E+02  0.209528E+00
  0.957934E+00  0.288782E+02  0.211630E+00
  0.960251E+00  0.285599E+02  0.207880E+00
  0.962568E+00  0.286323E+02  0.209353E+00
  0.964885E+00  0.285568E+02  0.207805E+00
  0.967202E+00  0.286027E+02  0.206943E+00
  0.969519E+00  0.284438E+02  0.208820E+00
  0.971836E+00  0.284003E+02  0.206284E+00
  0.974153E+00  0.284806E+02  0.206786E+00
  0.976470E+00  0.281405E+02  0.206386E+00
  0.978787E+00  0.281081E+02  0.206747E+00
  0.981104E+00  0.279206E+02  0.205579E+00
  0.983421E+00  0.274024E+02  0.204769E+00
  0.985738E+00  0.273224E+02  0.205223E+00
  0.988055E+00  0.268618E+02  0.203336E+00
  0.990372E+00  0.267245E+02  0.203942E+00
  0.992689E+00  0.268917E+02  0.203798E+00
  0.995006E+00  0.271772E+02  0.203563E+00
  0.997323E+00  0.267673E+02  0.204436E+00
  0.999640E+00  0.266021E+02  0.202085E+00
  0.100196E+01  0.263271E+02  0.202841E+00
  0.100427E+01  0.265576E+02  0.201871E+00
  0.100659E+01  0.266563E+02  0.202371E+00
  0.100891E+01  0.258129E+02  0.200801E+00
  0.101123E+01  0.255426E+02  0.198402E+00
  0.101354E+01  0.257604E+02  0.201025E+00
  0.101586E+01  0.256273E+02  0.198954E+00
  0.101818E+01  0.251923E+02  0.200652E+00
  0.102049E+01  0.252728E+02  0.200323E+00
  0.102281E+01  0.250031E+02  0.198132E+00
  0.102513E+01  0.254535E+02  0.200413E+00
  0.102744E+01  0.251409E+02  0.197487E+00
  0.102976E+01  0.244923E+02  0.198124E+00
  0.103208E+01  0.243550E+02  0.197786E+00
  0.103440E+01  0.248459E+02  0.197040E+00
  0.103671E+01  0.244501E+02  0.197519E+00
  0.103903E+01  0.242422E+02  0.194903E+00
  0.104135E+01  0.240171E+02  0.196923E+00
  0.104366E+01  0.242376E+02  0.195342E+00
  0.104598E+01  0.239153E+02  0.195833E+00
  0.104830E+01  0.238282E+02  0.196029E+00
  0.105061E+01  0.237240E+02  0.193296E+00
  0.105293E+01  0.239488E+02  0.195881E+00
  0.105525E+01  0.236356E+02  0.193784E+00
  0.105757E+01  0.232322E+02  0.194740E+00
  0.105988E+01  0.229492E+02  0.193461E+00
  0.106220E+01  0.233090E+02  0.192834E+00
  0.106452E+01  0.229833E+02  0.193796E+00
  0.106683E+01  0.227853E+02  0.191600E+00
  0.106915E+01  0.225988E+02  0.192913E+00
  0.107147E+01  0.224468E+02  0.191070E+00
  0.107379E+01  0.229886E+02  0.191410E+00
  0.107610E+01  0.226486E+02  0.192494E+00
  0.107842E+01  0.223003E+02  0.190466E+00
  0.108074E+01  0.221086E+02  0.190671E+00
  0.108305E+01  0.221200E+02  0.189742E+00
  0.108537E+01  0.219068E+02  0.189825E+00
  0.108769E+01  0.219506E+02  0.190050E+00
  0.109000E+01  0.217250E+02  0.187983E+00
  0.109232E+01  0.214563E+02  0.189778E+00
  0.109464E+01  0.215272E+02  0.188098E+00
  0.109696E+01  0.216078E+02  0.188948E+00
  0.109927E+01  0.217238E+02  0.188202E+00
  0.110159E+01  0.218195E+02  0.187117E+00
  0.110391E+01  0.215363E+02  0.188079E+00
  0.110622E+01  0.211628E+02  0.186705E+00
  0.110854E+01  0.209646E+02  0.186761E+00
  0.111086E+01  0.209362E+02  0.185765E+00
  0.111317E+01  0.207359E+02  0.185961E+00
  0.111549E+01  0.202088E+02  0.186782E+00
  0.111781E+01  0.202912E+02  0.185622E+00
  0.112013E+01  0.202872E+02  0.186479E+00
  0.112244E+01  0.203845E+02  0.183650E+00
  0.112476E+01  0.203550E+02  0.185492E+00
  0.112708E+01  0.204962E+02  0.183732E+00
  0.112939E+01  0.201608E+02  0.184019E+00
  0.113171E+01  0.199151E+02  0.184301E+00
  0.113403E+01  0.199556E+02  0.183563E+00
  0.113634E+01  0.200035E+02  0.183938E+00
  0.113866E+01  0.197173E+02  0.182086E+00
  0.114098E+01  0.199335E+02  0.183782E+00
  0.114330E+01  0.199840E+02  0.182868E+00
  0.114561E+01  0.198445E+02  0.181908E+00
  0.114793E+01  0.199501E+02  0.182919E+00
  0.115025E+01  0.193719E+02  0.180732E+00
  0.115256E+01  0.193336E+02  0.181922E+00
  0.115488E+01  0.191037E+02  0.181534E+00
  0.115720E+01  0.188191E+02  0.179508E+00
  0.115951E+01  0.186932E+02  0.180539E+00
  0.116183E+01  0.188399E+02  0.179191E+00
  0.116415E+01  0.192688E+02  0.181470E+00
  0.116647E+01  0.189035E+02  0.179090E+00
  0.116878E+01  0.187355E+02  0.178801E+00
  0.117110E+01  0.184985E+02  0.179750E+00
  0.117342E+01  0.185742E+02  0.177642E+00
  0.117573E+01  0.184221E+02  0.179800E+00
  0.117805E+01  0.181614E+02  0.176775E+00
  0.118037E+01  0.180595E+02  0.178091E+00
  0.118269E+01  0.180072E+02  0.178102E+00
  0.118500E+01  0.180187E+02  0.177632E+00
  0.118732E+01  0.180983E+02  0.178737E+00
  0.118964E+01  0.180176E+02  0.176188E+00
  0.119195E+01  0.176503E+02  0.177102E+00
  0.119427E+01  0.176394E+02  0.176739E+00
  0.119659E+01  0.176881E+02  0.174784E+00
  0.119890E+01  0.177265E+02  0.175732E+00
  0.120122E+01  0.178556E+02  0.175485E+00
  0.120354E+01  0.174928E+02  0.176925E+00
  0.120586E+01  0.176454E+02  0.175763E+00
  0.120817E+01  0.175506E+02  0.175932E+00
  0.121049E+01  0.177390E+02  0.177344E+00
  0.121281E+01  0.170996E+02  0.175774E+00
  0.121512E+01  0.172310E+02  0.176259E+00
  0.121744E+01  0.168168E+02  0.175507E+00
  0.121976E+01  0.167205E+02  0.176577E+00
  0.122207E+01  0.166692E+02  0.175997E+00
  0.122439E+01  0.169822E+02  0.175387E+00
  0.122671E+01  0.171118E+02  0.175885E+00
