Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: Lytawt
Parent(s): lytawt_zc_new.dat
 5.183900e-001  1.515220e+001  1.718360e-001
 5.211250e-001  1.486630e+001  1.708400e-001
 5.238600e-001  1.507010e+001  1.715690e-001
 5.265950e-001  1.510950e+001  1.690030e-001
 5.293310e-001  1.473220e+001  1.668450e-001
 5.320660e-001  1.463770e+001  1.670420e-001
 5.348010e-001  1.435860e+001  1.666440e-001
 5.375360e-001  1.464180e+001  1.669850e-001
 5.402710e-001  1.443880e+001  1.651500e-001
 5.430060e-001  1.422470e+001  1.641580e-001
 5.457410e-001  1.407550e+001  1.651190e-001
 5.484760e-001  1.399200e+001  1.617130e-001
 5.512110e-001  1.421500e+001  1.648210e-001
 5.539460e-001  1.399980e+001  1.619210e-001
 5.566810e-001  1.384310e+001  1.638440e-001
 5.594160e-001  1.370020e+001  1.605900e-001
 5.621520e-001  1.351490e+001  1.582290e-001
 5.648870e-001  1.351360e+001  1.622270e-001
 5.676220e-001  1.349940e+001  1.585840e-001
 5.703570e-001  1.353270e+001  1.605470e-001
 5.730920e-001  1.330180e+001  1.576930e-001
 5.758270e-001  1.288060e+001  1.529880e-001
 5.785620e-001  1.306940e+001  1.574880e-001
 5.812970e-001  1.245260e+001  1.512480e-001
 5.840320e-001  1.325090e+001  1.607450e-001
 5.867670e-001  1.279580e+001  1.537080e-001
 5.895020e-001  1.300730e+001  1.573010e-001
 5.922380e-001  1.273260e+001  1.561960e-001
 5.949730e-001  1.268470e+001  1.504830e-001
 5.977080e-001  1.270940e+001  1.552920e-001
 6.004430e-001  1.244090e+001  1.517480e-001
 6.031780e-001  1.248710e+001  1.544980e-001
 6.059130e-001  1.270020e+001  1.545430e-001
 6.086480e-001  1.243600e+001  1.535370e-001
 6.113830e-001  1.238850e+001  1.544650e-001
 6.141180e-001  1.222730e+001  1.527170e-001
 6.168530e-001  1.184160e+001  1.485690e-001
 6.195880e-001  1.182580e+001  1.476510e-001
 6.223230e-001  1.174650e+001  1.544310e-001
