 18-Oct-2007       (prot_024.dat - 1.0*Aver(prot_023.dat,prot_025.dat)) /  3.0
prot_024.dat  Conc = .30E+01  N1 =    1  N2 = 2164
prot_023.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
prot_025.dat  Conc = 0.0d+0   N1 =    1  N2 = 2164
  0.432370E+00  0.816512E+02  0.833374E+00
  0.434685E+00  0.831462E+02  0.832647E+00
  0.437000E+00  0.831191E+02  0.826835E+00
  0.439315E+00  0.820154E+02  0.820385E+00
  0.441630E+00  0.794291E+02  0.821366E+00
  0.443945E+00  0.800467E+02  0.808328E+00
  0.446260E+00  0.791670E+02  0.809690E+00
  0.448575E+00  0.792620E+02  0.807818E+00
  0.450890E+00  0.790853E+02  0.812055E+00
  0.453205E+00  0.779376E+02  0.807052E+00
  0.455521E+00  0.781793E+02  0.789782E+00
  0.457836E+00  0.778037E+02  0.792198E+00
  0.460151E+00  0.775714E+02  0.796222E+00
  0.462466E+00  0.783245E+02  0.786455E+00
  0.464781E+00  0.780207E+02  0.787994E+00
  0.467096E+00  0.772153E+02  0.773533E+00
  0.469411E+00  0.744827E+02  0.780820E+00
  0.471726E+00  0.756814E+02  0.774540E+00
  0.474041E+00  0.756599E+02  0.776463E+00
  0.476356E+00  0.742297E+02  0.768907E+00
  0.478671E+00  0.740469E+02  0.759725E+00
  0.480986E+00  0.727563E+02  0.768538E+00
  0.483301E+00  0.726316E+02  0.753684E+00
  0.485616E+00  0.724391E+02  0.757104E+00
  0.487931E+00  0.714037E+02  0.759098E+00
  0.490246E+00  0.715748E+02  0.747532E+00
  0.492561E+00  0.715405E+02  0.752129E+00
  0.494876E+00  0.713718E+02  0.740286E+00
  0.497191E+00  0.717125E+02  0.745232E+00
  0.499506E+00  0.713897E+02  0.736818E+00
  0.501821E+00  0.707398E+02  0.738736E+00
  0.504136E+00  0.724771E+02  0.737193E+00
  0.506451E+00  0.702948E+02  0.724338E+00
  0.508766E+00  0.700313E+02  0.730536E+00
  0.511081E+00  0.701225E+02  0.725423E+00
  0.513396E+00  0.692843E+02  0.723755E+00
  0.515711E+00  0.685913E+02  0.720260E+00
  0.518026E+00  0.676859E+02  0.720798E+00
  0.520341E+00  0.682292E+02  0.717988E+00
  0.522656E+00  0.690736E+02  0.709073E+00
  0.524971E+00  0.671045E+02  0.716446E+00
  0.527286E+00  0.658665E+02  0.706564E+00
  0.529601E+00  0.662016E+02  0.709054E+00
  0.531916E+00  0.668470E+02  0.704853E+00
  0.534231E+00  0.647225E+02  0.693740E+00
  0.536546E+00  0.642579E+02  0.699171E+00
  0.538862E+00  0.652380E+02  0.694701E+00
  0.541177E+00  0.643514E+02  0.693698E+00
  0.543492E+00  0.630492E+02  0.690096E+00
  0.545807E+00  0.621717E+02  0.682322E+00
  0.548122E+00  0.633551E+02  0.695302E+00
  0.550437E+00  0.625168E+02  0.678063E+00
  0.552752E+00  0.602736E+02  0.685993E+00
  0.555067E+00  0.617114E+02  0.676099E+00
  0.557382E+00  0.623601E+02  0.678965E+00
  0.559697E+00  0.609447E+02  0.681711E+00
  0.562012E+00  0.605518E+02  0.665942E+00
  0.564327E+00  0.607542E+02  0.674040E+00
  0.566642E+00  0.603535E+02  0.666990E+00
  0.568957E+00  0.586587E+02  0.667439E+00
  0.571272E+00  0.585144E+02  0.671300E+00
  0.573587E+00  0.582867E+02  0.656442E+00
  0.575902E+00  0.575568E+02  0.665056E+00
  0.578217E+00  0.577729E+02  0.660647E+00
  0.580532E+00  0.588135E+02  0.658725E+00
  0.582847E+00  0.588400E+02  0.663326E+00
  0.585162E+00  0.588301E+02  0.646869E+00
  0.587477E+00  0.584758E+02  0.661386E+00
  0.589792E+00  0.571140E+02  0.646722E+00
  0.592107E+00  0.571630E+02  0.651207E+00
  0.594422E+00  0.570883E+02  0.647062E+00
  0.596737E+00  0.550521E+02  0.645800E+00
  0.599052E+00  0.544881E+02  0.645454E+00
  0.601367E+00  0.541285E+02  0.638208E+00
  0.603682E+00  0.549946E+02  0.640884E+00
  0.605997E+00  0.551820E+02  0.636856E+00
  0.608312E+00  0.534403E+02  0.639692E+00
  0.610627E+00  0.529583E+02  0.636006E+00
  0.612942E+00  0.541605E+02  0.629766E+00
  0.615257E+00  0.546403E+02  0.634432E+00
  0.617572E+00  0.546601E+02  0.632473E+00
  0.619887E+00  0.522266E+02  0.632299E+00
  0.622203E+00  0.533281E+02  0.630582E+00
  0.624518E+00  0.530125E+02  0.620209E+00
  0.626833E+00  0.514593E+02  0.628939E+00
  0.629148E+00  0.500703E+02  0.614151E+00
  0.631463E+00  0.517853E+02  0.620516E+00
  0.633778E+00  0.506347E+02  0.615315E+00
  0.636093E+00  0.510463E+02  0.621063E+00
  0.638408E+00  0.481214E+02  0.615577E+00
  0.640723E+00  0.495582E+02  0.611444E+00
  0.643038E+00  0.494364E+02  0.615030E+00
  0.645353E+00  0.485198E+02  0.608222E+00
