 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.426169E+00  0.971176E+06  0.707727E+04
  0.428419E+00  0.974880E+06  0.703738E+04
  0.430669E+00  0.970908E+06  0.704763E+04
  0.432919E+00  0.963728E+06  0.698577E+04
  0.435168E+00  0.951860E+06  0.693556E+04
  0.437418E+00  0.952352E+06  0.695913E+04
  0.439668E+00  0.942976E+06  0.693586E+04
  0.441917E+00  0.932600E+06  0.688458E+04
  0.444167E+00  0.937576E+06  0.677857E+04
  0.446417E+00  0.924592E+06  0.687365E+04
  0.448666E+00  0.929012E+06  0.683978E+04
  0.450916E+00  0.923732E+06  0.676941E+04
  0.453166E+00  0.914736E+06  0.677496E+04
  0.455416E+00  0.909652E+06  0.670667E+04
  0.457665E+00  0.897268E+06  0.680040E+04
  0.459915E+00  0.895500E+06  0.665985E+04
  0.462165E+00  0.878660E+06  0.666696E+04
  0.464414E+00  0.876360E+06  0.661947E+04
  0.466664E+00  0.870960E+06  0.661590E+04
  0.468914E+00  0.853748E+06  0.666115E+04
  0.471163E+00  0.842476E+06  0.652054E+04
  0.473413E+00  0.842660E+06  0.653814E+04
  0.475663E+00  0.840888E+06  0.651757E+04
  0.477913E+00  0.842804E+06  0.651662E+04
  0.480162E+00  0.841248E+06  0.652159E+04
  0.482412E+00  0.826064E+06  0.638244E+04
  0.484662E+00  0.815708E+06  0.645324E+04
  0.486911E+00  0.819960E+06  0.641750E+04
  0.489161E+00  0.817312E+06  0.639929E+04
  0.491411E+00  0.802404E+06  0.635247E+04
  0.493660E+00  0.806996E+06  0.631593E+04
  0.495910E+00  0.804988E+06  0.638712E+04
  0.498160E+00  0.795332E+06  0.625633E+04
  0.500410E+00  0.803952E+06  0.626090E+04
  0.502659E+00  0.788940E+06  0.626183E+04
  0.504909E+00  0.790080E+06  0.624740E+04
  0.507159E+00  0.787056E+06  0.627801E+04
  0.509408E+00  0.767124E+06  0.621449E+04
  0.511658E+00  0.759216E+06  0.616195E+04
  0.513908E+00  0.752288E+06  0.618779E+04
  0.516157E+00  0.755336E+06  0.619331E+04
  0.518407E+00  0.757424E+06  0.613437E+04
  0.520657E+00  0.748220E+06  0.608459E+04
  0.522907E+00  0.743676E+06  0.610372E+04
  0.525156E+00  0.732632E+06  0.607517E+04
  0.527406E+00  0.724416E+06  0.607041E+04
  0.529656E+00  0.721120E+06  0.602490E+04
  0.531905E+00  0.728012E+06  0.601559E+04
  0.534155E+00  0.722568E+06  0.604085E+04
  0.536405E+00  0.714468E+06  0.597324E+04
  0.538654E+00  0.706804E+06  0.596332E+04
  0.540904E+00  0.709580E+06  0.594528E+04
  0.543154E+00  0.686344E+06  0.598387E+04
  0.545404E+00  0.695640E+06  0.595003E+04
  0.547653E+00  0.689472E+06  0.586477E+04
  0.549903E+00  0.668804E+06  0.591457E+04
  0.552153E+00  0.682820E+06  0.584388E+04
  0.554402E+00  0.659656E+06  0.588510E+04
