 05-Nov-2009       (filippo_024.dat - 1.0*filippo_025.dat) /  5.0000          
filippo_024.  Conc = .50E+01  N1 =    1  N2 = 2310
filippo_025.  Conc = 0.0d+0   N1 =    1  N2 = 2310
  0.405572E+00  0.818237E+02  0.289982E+00
  0.408240E+00  0.816144E+02  0.293478E+00
  0.410908E+00  0.805358E+02  0.294116E+00
  0.413575E+00  0.802857E+02  0.296157E+00
  0.416243E+00  0.797844E+02  0.289526E+00
  0.418911E+00  0.784850E+02  0.291351E+00
  0.421578E+00  0.775681E+02  0.285747E+00
  0.424246E+00  0.772164E+02  0.288871E+00
  0.426913E+00  0.765275E+02  0.288263E+00
  0.429581E+00  0.763936E+02  0.284830E+00
  0.432249E+00  0.759122E+02  0.287824E+00
  0.434916E+00  0.745586E+02  0.288859E+00
  0.437584E+00  0.744146E+02  0.285312E+00
  0.440252E+00  0.731678E+02  0.276630E+00
  0.442919E+00  0.724424E+02  0.282229E+00
  0.445587E+00  0.719171E+02  0.282742E+00
  0.448255E+00  0.717209E+02  0.282024E+00
  0.450922E+00  0.707650E+02  0.280478E+00
  0.453590E+00  0.697409E+02  0.275542E+00
  0.456257E+00  0.691905E+02  0.279204E+00
  0.458925E+00  0.684124E+02  0.278298E+00
  0.461593E+00  0.686505E+02  0.272900E+00
  0.464260E+00  0.670084E+02  0.275929E+00
  0.466928E+00  0.671626E+02  0.276555E+00
  0.469596E+00  0.662577E+02  0.273150E+00
  0.472263E+00  0.654531E+02  0.269945E+00
  0.474931E+00  0.655565E+02  0.269637E+00
  0.477598E+00  0.643230E+02  0.273321E+00
  0.480266E+00  0.635938E+02  0.272470E+00
  0.482934E+00  0.631329E+02  0.269549E+00
  0.485601E+00  0.627936E+02  0.265678E+00
  0.488269E+00  0.617031E+02  0.264821E+00
  0.490937E+00  0.614265E+02  0.266327E+00
  0.493604E+00  0.601542E+02  0.268102E+00
  0.496272E+00  0.597752E+02  0.258182E+00
  0.498939E+00  0.590263E+02  0.263539E+00
  0.501607E+00  0.589173E+02  0.263433E+00
  0.504275E+00  0.578755E+02  0.262903E+00
  0.506942E+00  0.576461E+02  0.258127E+00
  0.509610E+00  0.568781E+02  0.257360E+00
  0.512278E+00  0.566210E+02  0.261542E+00
  0.514945E+00  0.557213E+02  0.259174E+00
  0.517613E+00  0.550663E+02  0.257016E+00
  0.520280E+00  0.546049E+02  0.253779E+00
  0.522948E+00  0.539531E+02  0.254503E+00
  0.525616E+00  0.533824E+02  0.253989E+00
  0.528283E+00  0.533250E+02  0.252236E+00
  0.530951E+00  0.526694E+02  0.253934E+00
  0.533619E+00  0.520859E+02  0.250255E+00
  0.536286E+00  0.518134E+02  0.249392E+00
  0.538954E+00  0.511300E+02  0.243108E+00
  0.541621E+00  0.505057E+02  0.232461E+00
  0.544289E+00  0.499225E+02  0.226242E+00
  0.546957E+00  0.502966E+02  0.225455E+00
  0.549624E+00  0.495505E+02  0.223502E+00
  0.552292E+00  0.491208E+02  0.212604E+00
  0.554960E+00  0.485801E+02  0.211192E+00
  0.557627E+00  0.476792E+02  0.208264E+00
  0.560295E+00  0.472943E+02  0.209471E+00
  0.562963E+00  0.467135E+02  0.201946E+00
  0.565630E+00  0.465921E+02  0.201476E+00
  0.568298E+00  0.460725E+02  0.201372E+00
  0.570965E+00  0.459101E+02  0.198197E+00
  0.573633E+00  0.449775E+02  0.193960E+00
  0.576301E+00  0.448427E+02  0.193402E+00
  0.578968E+00  0.442401E+02  0.192292E+00
  0.581636E+00  0.436156E+02  0.190548E+00
  0.584304E+00  0.430170E+02  0.190767E+00
  0.586971E+00  0.427669E+02  0.184792E+00
  0.589639E+00  0.423449E+02  0.183886E+00
  0.592306E+00  0.418936E+02  0.184640E+00
  0.594974E+00  0.411039E+02  0.182330E+00
  0.597642E+00  0.411355E+02  0.178602E+00
  0.600309E+00  0.403765E+02  0.181144E+00
  0.602977E+00  0.399613E+02  0.176356E+00
  0.605645E+00  0.395020E+02  0.178624E+00
  0.608312E+00  0.395640E+02  0.172972E+00
  0.610980E+00  0.388130E+02  0.175548E+00
  0.613647E+00  0.384146E+02  0.173524E+00
