Sample description: DAPK2o6768
Sample: DAPK2o6768  c= 2.0000 mg/ml  Code: DAPKB
Parent(s): processed/subtracted/DAPKB_0036_sub.dat
  3.538000e-01   5.237295e+02   1.823803e+01
  3.564310e-01   4.799201e+02   1.773727e+01
  3.590630e-01   4.623196e+02   1.778674e+01
  3.616940e-01   4.808864e+02   1.759379e+01
  3.643250e-01   4.767051e+02   1.796271e+01
  3.669560e-01   5.133780e+02   1.780935e+01
  3.695870e-01   5.021755e+02   1.767082e+01
  3.722180e-01   4.784349e+02   1.784685e+01
  3.748490e-01   4.555577e+02   1.777898e+01
  3.774800e-01   4.768799e+02   1.868064e+01
  3.801110e-01   4.947815e+02   1.858118e+01
  3.827420e-01   4.916868e+02   1.846742e+01
  3.853740e-01   4.480427e+02   1.864189e+01
  3.880050e-01   4.764410e+02   1.863128e+01
  3.906360e-01   4.395969e+02   1.873822e+01
  3.932670e-01   4.808155e+02   1.854356e+01
  3.958980e-01   4.666404e+02   1.893082e+01
  3.985290e-01   4.942496e+02   1.911029e+01
  4.011600e-01   4.312636e+02   1.849731e+01
  4.037910e-01   4.853496e+02   1.931243e+01
  4.064220e-01   4.607826e+02   1.903894e+01
  4.090540e-01   4.463467e+02   1.922641e+01
  4.116850e-01   4.755056e+02   1.947802e+01
  4.143160e-01   4.443603e+02   1.894480e+01
  4.169470e-01   4.168619e+02   1.897234e+01
  4.195780e-01   4.609221e+02   1.888461e+01
  4.222090e-01   4.160593e+02   1.900903e+01
  4.248400e-01   4.218591e+02   1.887827e+01
  4.274710e-01   4.379200e+02   1.861238e+01
  4.301020e-01   4.505126e+02   1.840020e+01
  4.327340e-01   4.702971e+02   1.807134e+01
  4.353650e-01   4.538449e+02   1.807211e+01
  4.379960e-01   4.280844e+02   1.746662e+01
  4.406270e-01   4.223881e+02   1.736126e+01
  4.432580e-01   4.612230e+02   1.772108e+01
  4.458890e-01   4.272996e+02   1.706865e+01
  4.485200e-01   4.266359e+02   1.711453e+01
  4.511510e-01   4.284988e+02   1.681692e+01
  4.537820e-01   4.123770e+02   1.698484e+01
  4.564130e-01   4.080758e+02   1.657834e+01
  4.590450e-01   4.177843e+02   1.672468e+01
  4.616760e-01   3.835758e+02   1.649805e+01
  4.643070e-01   3.970611e+02   1.640349e+01
  4.669380e-01   4.125612e+02   1.633088e+01
  4.695690e-01   3.751281e+02   1.632843e+01
  4.722000e-01   4.028584e+02   1.614422e+01
  4.748310e-01   4.069418e+02   1.625052e+01
  4.774620e-01   4.161359e+02   1.616127e+01
  4.800930e-01   4.127441e+02   1.610074e+01
  4.827250e-01   4.073686e+02   1.583506e+01
  4.853560e-01   4.123223e+02   1.604482e+01
  4.879870e-01   3.819098e+02   1.573197e+01
  4.906180e-01   4.131773e+02   1.603767e+01
  4.932490e-01   4.110554e+02   1.587327e+01
  4.958800e-01   4.198440e+02   1.582600e+01
  4.985110e-01   4.114642e+02   1.590596e+01
  5.011420e-01   3.852840e+02   1.537010e+01
  5.037730e-01   3.997081e+02   1.558919e+01
  5.064050e-01   3.809561e+02   1.566889e+01
  5.090360e-01   3.848428e+02   1.570573e+01
  5.116670e-01   3.751641e+02   1.584890e+01
  5.142980e-01   3.762181e+02   1.570078e+01
  5.169290e-01   3.712803e+02   1.574714e+01
  5.195600e-01   3.742319e+02   1.587884e+01
  5.221910e-01   3.654667e+02   1.583692e+01
  5.248220e-01   3.446596e+02   1.572996e+01
  5.274530e-01   3.686601e+02   1.592470e+01
  5.300840e-01   3.945455e+02   1.611133e+01
  5.327160e-01   3.615978e+02   1.605715e+01
  5.353470e-01   3.674093e+02   1.598536e+01
  5.379780e-01   3.470924e+02   1.555879e+01
  5.406090e-01   3.207643e+02   1.545837e+01
  5.432400e-01   3.428315e+02   1.532081e+01
  5.458710e-01   3.393868e+02   1.502187e+01
  5.485020e-01   3.628942e+02   1.492574e+01
  5.511330e-01   3.257190e+02   1.467598e+01
  5.537640e-01   3.542853e+02   1.483213e+01
  5.563960e-01   3.310872e+02   1.443009e+01
  5.590270e-01   3.341560e+02   1.453182e+01
  5.616580e-01   3.569787e+02   1.462227e+01
  5.642890e-01   3.608535e+02   1.474677e+01
  5.669200e-01   3.402668e+02   1.434356e+01
  5.695510e-01   3.159692e+02   1.421040e+01
  5.721820e-01   3.124540e+02   1.417627e+01
  5.748130e-01   3.471053e+02   1.440854e+01
  5.774440e-01   3.261604e+02   1.426633e+01
  5.800760e-01   3.335104e+02   1.402046e+01
  5.827070e-01   3.029833e+02   1.380836e+01
  5.853380e-01   3.134296e+02   1.393991e+01
  5.879690e-01   3.341329e+02   1.408127e+01
  5.906000e-01   3.249382e+02   1.390913e+01
  5.932310e-01   3.254107e+02   1.388969e+01
  5.958620e-01   3.086721e+02   1.383210e+01
  5.984930e-01   3.359137e+02   1.389223e+01
  6.011240e-01   3.042982e+02   1.361777e+01
  6.037550e-01   3.263288e+02   1.376795e+01
  6.063870e-01   2.990575e+02   1.346845e+01
  6.090180e-01   2.941137e+02   1.344196e+01
  6.116490e-01   3.132288e+02   1.358803e+01
  6.142800e-01   3.131832e+02   1.348614e+01
  6.169110e-01   3.132093e+02   1.346049e+01
  6.195420e-01   3.002398e+02   1.349768e+01
  6.221730e-01   3.015899e+02   1.328236e+01
  6.248040e-01   2.915980e+02   1.330246e+01
  6.274350e-01   3.052074e+02   1.318929e+01
  6.300670e-01   3.017909e+02   1.315672e+01
  6.326980e-01   2.970754e+02   1.334277e+01
  6.353290e-01   3.005425e+02   1.299928e+01
  6.379600e-01   2.842706e+02   1.293301e+01
  6.405910e-01   2.927708e+02   1.303819e+01
  6.432220e-01   2.867512e+02   1.296767e+01
  6.458530e-01   2.764784e+02   1.283413e+01
  6.484840e-01   3.081732e+02   1.281655e+01
  6.511150e-01   2.813798e+02   1.289361e+01
  6.537470e-01   2.813228e+02   1.279045e+01
  6.563780e-01   2.873376e+02   1.269033e+01
  6.590090e-01   2.823146e+02   1.285769e+01
  6.616400e-01   2.743345e+02   1.252546e+01
  6.642710e-01   2.814260e+02   1.280773e+01
  6.669020e-01   2.603558e+02   1.241665e+01
  6.695330e-01   2.776105e+02   1.260195e+01
  6.721640e-01   2.728649e+02   1.249742e+01
  6.747950e-01   2.812692e+02   1.264762e+01
  6.774270e-01   2.680435e+02   1.268047e+01
  6.800580e-01   2.783537e+02   1.248461e+01
  6.826890e-01   2.687894e+02   1.245409e+01
  6.853200e-01   2.557859e+02   1.238191e+01
  6.879510e-01   2.812679e+02   1.250703e+01
  6.905820e-01   2.815412e+02   1.245955e+01
  6.932130e-01   2.632465e+02   1.216737e+01
  6.958440e-01   2.540363e+02   1.233345e+01
  6.984750e-01   2.558199e+02   1.225838e+01
  7.011060e-01   2.597692e+02   1.237174e+01
  7.037380e-01   2.613225e+02   1.224733e+01
  7.063690e-01   2.623066e+02   1.217093e+01
  7.090000e-01   2.393373e+02   1.202175e+01
  7.116310e-01   2.265437e+02   1.184732e+01
  7.142620e-01   2.398448e+02   1.207578e+01
  7.168930e-01   2.497271e+02   1.202964e+01
  7.195240e-01   2.293877e+02   1.199770e+01
  7.221550e-01   2.601258e+02   1.202573e+01
  7.247860e-01   2.431276e+02   1.189097e+01
  7.274180e-01   2.412933e+02   1.183032e+01
  7.300490e-01   2.282971e+02   1.183358e+01
  7.326800e-01   2.612421e+02   1.195939e+01
  7.353110e-01   2.370952e+02   1.181128e+01
  7.379420e-01   2.250328e+02   1.171360e+01
  7.405730e-01   2.459864e+02   1.171532e+01
  7.432040e-01   2.438562e+02   1.184541e+01
  7.458350e-01   2.256108e+02   1.161719e+01
  7.484660e-01   2.360845e+02   1.162987e+01
  7.510980e-01   2.340728e+02   1.161847e+01
  7.537290e-01   2.081731e+02   1.155799e+01
  7.563600e-01   2.414748e+02   1.157654e+01
  7.589910e-01   2.105434e+02   1.146506e+01
  7.616220e-01   2.097379e+02   1.132489e+01
  7.642530e-01   2.160867e+02   1.136264e+01
  7.668840e-01   2.081942e+02   1.138890e+01
  7.695150e-01   2.147698e+02   1.124375e+01
  7.721460e-01   2.059561e+02   1.132106e+01
  7.747770e-01   2.145648e+02   1.118660e+01
  7.774090e-01   2.214934e+02   1.172519e+01
  7.800400e-01   1.897732e+02   1.146055e+01
  7.826710e-01   2.100782e+02   1.171496e+01
  7.853020e-01   2.212656e+02   1.193994e+01
  7.879330e-01   2.168636e+02   1.186689e+01
  7.905640e-01   1.873604e+02   1.185070e+01
  7.931950e-01   2.127942e+02   1.173078e+01
  7.958260e-01   1.972863e+02   1.177653e+01
  7.984570e-01   2.045935e+02   1.196602e+01
  8.010890e-01   1.962550e+02   1.194896e+01
  8.037200e-01   2.046271e+02   1.206596e+01
  8.063510e-01   1.883260e+02   1.138414e+01
  8.089820e-01   1.953489e+02   1.153635e+01
  8.116130e-01   1.783867e+02   1.133200e+01
  8.142440e-01   1.777374e+02   1.109916e+01
  8.168750e-01   1.798122e+02   1.113519e+01
  8.195060e-01   1.978484e+02   1.093018e+01
  8.221370e-01   1.824472e+02   1.105780e+01
  8.247690e-01   1.788964e+02   1.092699e+01
  8.274000e-01   2.034236e+02   1.089886e+01
  8.300310e-01   1.723855e+02   1.085912e+01
  8.326620e-01   1.769509e+02   1.089467e+01
  8.352930e-01   2.089446e+02   1.104637e+01
  8.379240e-01   1.902862e+02   1.071611e+01
  8.405550e-01   1.694992e+02   1.070124e+01
  8.431860e-01   1.483810e+02   1.064861e+01
  8.458170e-01   1.737085e+02   1.066358e+01
  8.484480e-01   1.985394e+02   1.092536e+01
  8.510800e-01   1.900671e+02   1.060802e+01
  8.537110e-01   1.617477e+02   1.055019e+01
  8.563420e-01   1.650631e+02   1.053458e+01
  8.589730e-01   1.448324e+02   1.055008e+01
  8.616040e-01   1.524863e+02   1.040671e+01
  8.642350e-01   1.628913e+02   1.043592e+01
  8.668660e-01   1.651870e+02   1.058976e+01
  8.694970e-01   1.640482e+02   1.029177e+01
  8.721280e-01   1.772781e+02   1.038834e+01
  8.747600e-01   1.676893e+02   1.028568e+01
  8.773910e-01   1.593433e+02   1.022583e+01
  8.800220e-01   1.365565e+02   1.022495e+01
  8.826530e-01   1.605215e+02   1.018323e+01
  8.852840e-01   1.560957e+02   1.019496e+01
  8.879150e-01   1.553966e+02   1.024279e+01
  8.905460e-01   1.497585e+02   1.009106e+01
  8.931770e-01   1.643522e+02   1.035190e+01
  8.958080e-01   1.597484e+02   1.018224e+01
  8.984400e-01   1.449534e+02   1.027842e+01
  9.010710e-01   1.457108e+02   1.005859e+01
  9.037020e-01   1.598272e+02   1.011101e+01
  9.063330e-01   1.319143e+02   1.009912e+01
