Sample description: NETRIN DCC56 AmS
Sample: NETRIN DCC56 Am  c= 2.8700 mg/ml  Code: RN11D56A
Parent(s): processed/subtracted/RN11D56A_0064_sub.dat
  3.013640e-01   7.191749e+02   1.875849e+01
  3.033630e-01   7.072777e+02   1.852883e+01
  3.053610e-01   6.852066e+02   1.828149e+01
  3.073600e-01   6.985683e+02   1.868050e+01
  3.093580e-01   6.997408e+02   1.815102e+01
  3.113570e-01   7.014164e+02   1.823726e+01
  3.133550e-01   6.812829e+02   1.840520e+01
  3.153530e-01   7.075666e+02   1.836456e+01
  3.173520e-01   6.910045e+02   1.822191e+01
  3.193500e-01   6.601202e+02   1.780676e+01
  3.213490e-01   6.583906e+02   1.791429e+01
  3.233470e-01   6.532934e+02   1.816834e+01
  3.253460e-01   6.823237e+02   1.779636e+01
  3.273440e-01   6.427000e+02   1.781768e+01
  3.293420e-01   6.421937e+02   1.752870e+01
  3.313410e-01   6.590589e+02   1.761068e+01
  3.333390e-01   6.153645e+02   1.762353e+01
  3.353380e-01   6.593763e+02   1.727905e+01
  3.373360e-01   6.419021e+02   1.754940e+01
  3.393350e-01   6.244732e+02   1.724994e+01
  3.413330e-01   6.165066e+02   1.729583e+01
  3.433310e-01   6.188376e+02   1.727833e+01
  3.453300e-01   6.178418e+02   1.706002e+01
  3.473280e-01   6.211561e+02   1.717460e+01
  3.493270e-01   5.967763e+02   1.706267e+01
  3.513250e-01   6.074944e+02   1.720985e+01
  3.533240e-01   6.466401e+02   1.669937e+01
  3.553220e-01   5.843460e+02   1.707246e+01
  3.573200e-01   6.008087e+02   1.695528e+01
  3.593190e-01   6.028334e+02   1.692303e+01
  3.613170e-01   5.953453e+02   1.670735e+01
  3.633160e-01   5.746331e+02   1.690133e+01
  3.653140e-01   5.929899e+02   1.734245e+01
  3.673130e-01   5.593077e+02   1.719168e+01
  3.693110e-01   5.870024e+02   1.738086e+01
  3.713090e-01   5.670240e+02   1.731579e+01
  3.733080e-01   5.880202e+02   1.736171e+01
  3.753060e-01   5.439206e+02   1.750023e+01
  3.773050e-01   5.690902e+02   1.703034e+01
  3.793030e-01   5.470571e+02   1.677311e+01
  3.813020e-01   5.654554e+02   1.681661e+01
  3.833000e-01   5.368153e+02   1.691847e+01
  3.852990e-01   5.318948e+02   1.655342e+01
  3.872970e-01   5.250927e+02   1.637429e+01
  3.892950e-01   5.291167e+02   1.639545e+01
  3.912940e-01   5.294547e+02   1.623521e+01
  3.932920e-01   5.517066e+02   1.645303e+01
  3.952910e-01   5.227502e+02   1.601480e+01
  3.972890e-01   5.158979e+02   1.624819e+01
  3.992880e-01   5.122631e+02   1.618647e+01
  4.012860e-01   5.203850e+02   1.595839e+01
  4.032840e-01   5.048941e+02   1.602657e+01
  4.052830e-01   5.169415e+02   1.577893e+01
  4.072810e-01   5.041000e+02   1.595762e+01
  4.092800e-01   4.895690e+02   1.590990e+01
  4.112780e-01   4.915540e+02   1.542526e+01
  4.132770e-01   5.053875e+02   1.562552e+01
  4.152750e-01   4.806321e+02   1.539170e+01
  4.172730e-01   4.846049e+02   1.549820e+01
  4.192720e-01   4.961272e+02   1.525864e+01
  4.212700e-01   4.765962e+02   1.528576e+01
  4.232690e-01   4.783042e+02   1.520849e+01
  4.252670e-01   4.819714e+02   1.490943e+01
  4.272660e-01   4.738286e+02   1.519558e+01
  4.292640e-01   4.740268e+02   1.484110e+01
  4.312620e-01   4.579753e+02   1.492142e+01
  4.332610e-01   4.693216e+02   1.519900e+01
  4.352590e-01   4.580045e+02   1.478028e+01
  4.372580e-01   4.642575e+02   1.465322e+01
  4.392560e-01   4.609662e+02   1.468731e+01
  4.412550e-01   4.416432e+02   1.503124e+01
  4.432530e-01   4.390847e+02   1.494165e+01
  4.452520e-01   4.441167e+02   1.452903e+01
  4.472500e-01   4.364150e+02   1.478718e+01
  4.492480e-01   4.598488e+02   1.449270e+01
  4.512470e-01   4.056610e+02   1.458809e+01
  4.532450e-01   4.367401e+02   1.471464e+01
  4.552440e-01   4.425362e+02   1.454695e+01
  4.572420e-01   4.501237e+02   1.471206e+01
  4.592410e-01   4.254749e+02   1.451359e+01
  4.612390e-01   4.300794e+02   1.447382e+01
  4.632370e-01   4.354638e+02   1.431870e+01
  4.652360e-01   4.199913e+02   1.428905e+01
  4.672340e-01   4.287798e+02   1.439194e+01
  4.692330e-01   3.971509e+02   1.432653e+01
  4.712310e-01   4.121902e+02   1.432007e+01
  4.732300e-01   4.439547e+02   1.423784e+01
  4.752280e-01   3.884826e+02   1.431489e+01
  4.772260e-01   4.385077e+02   1.413791e+01
  4.792250e-01   3.843223e+02   1.404878e+01
  4.812230e-01   4.069077e+02   1.406716e+01
  4.832220e-01   4.005955e+02   1.395549e+01
  4.852200e-01   4.064115e+02   1.404717e+01
  4.872190e-01   3.948045e+02   1.402513e+01
  4.892170e-01   4.026146e+02   1.396252e+01
  4.912150e-01   3.977233e+02   1.396361e+01
  4.932140e-01   3.942902e+02   1.382829e+01
  4.952120e-01   3.762564e+02   1.388410e+01
  4.972110e-01   3.587599e+02   1.365956e+01
  4.992090e-01   3.972666e+02   1.384251e+01
  5.012080e-01   3.835481e+02   1.375137e+01
  5.032060e-01   3.912376e+02   1.367027e+01
  5.052050e-01   3.934463e+02   1.383263e+01
  5.072030e-01   3.694951e+02   1.357755e+01
  5.092010e-01   3.458868e+02   1.373832e+01
  5.112000e-01   3.574704e+02   1.343876e+01
  5.131980e-01   3.638979e+02   1.355544e+01
  5.151970e-01   3.602815e+02   1.357744e+01
  5.171950e-01   3.701906e+02   1.338873e+01
  5.191940e-01   3.525310e+02   1.363049e+01
  5.211920e-01   3.529882e+02   1.335556e+01
  5.231900e-01   3.616401e+02   1.328559e+01
  5.251890e-01   3.441178e+02   1.346637e+01
  5.271870e-01   3.444394e+02   1.314384e+01
  5.291860e-01   3.515770e+02   1.340823e+01
  5.311840e-01   3.572470e+02   1.312987e+01
  5.331830e-01   3.573042e+02   1.319766e+01
  5.351810e-01   3.694582e+02   1.330200e+01
  5.371790e-01   3.345854e+02   1.305009e+01
  5.391780e-01   3.479669e+02   1.307984e+01
  5.411760e-01   3.358188e+02   1.291736e+01
  5.431750e-01   3.549251e+02   1.317317e+01
  5.451730e-01   3.432495e+02   1.311953e+01
  5.471720e-01   3.431233e+02   1.295899e+01
  5.491700e-01   3.149436e+02   1.309567e+01
  5.511680e-01   3.440153e+02   1.280249e+01
  5.531670e-01   3.308153e+02   1.300756e+01
  5.551650e-01   3.379990e+02   1.306003e+01
  5.571640e-01   3.365373e+02   1.282103e+01
  5.591620e-01   3.115739e+02   1.288633e+01
  5.611610e-01   3.252937e+02   1.286548e+01
  5.631590e-01   3.386822e+02   1.272554e+01
  5.651580e-01   3.270780e+02   1.272688e+01
  5.671560e-01   3.166826e+02   1.281446e+01
  5.691540e-01   3.048690e+02   1.270371e+01
  5.711530e-01   3.035456e+02   1.273870e+01
  5.731510e-01   3.259139e+02   1.258033e+01
  5.751500e-01   3.017317e+02   1.251871e+01
  5.771480e-01   3.126826e+02   1.267890e+01
  5.791470e-01   3.014993e+02   1.262136e+01
  5.811450e-01   2.922084e+02   1.260144e+01
  5.831430e-01   2.923826e+02   1.246910e+01
  5.851420e-01   3.200010e+02   1.257355e+01
  5.871400e-01   2.863784e+02   1.245736e+01
  5.891390e-01   3.047808e+02   1.232869e+01
  5.911370e-01   3.033091e+02   1.244390e+01
