#Sample description: CD27LC239R NaCl
#Sample: CD27LC239R NaCl  c= 1.0600 mg/ml  Code: CD27CR
#Parent(s): /var/folders/z_/xc294sm95_b7n3lbzr312p7w0000gn/T/qt_temp.T19533
  4.240190e-01   1.518424e+03   4.393512e+01
  4.266500e-01   1.500276e+03   4.362146e+01
  4.292810e-01   1.416350e+03   4.316645e+01
  4.319120e-01   1.463708e+03   4.243462e+01
  4.345420e-01   1.409500e+03   4.118355e+01
  4.371730e-01   1.353450e+03   4.118384e+01
  4.398040e-01   1.403099e+03   4.058110e+01
  4.424350e-01   1.428373e+03   4.015509e+01
  4.450650e-01   1.323299e+03   3.926708e+01
  4.476960e-01   1.330277e+03   3.907762e+01
  4.503270e-01   1.326479e+03   3.924004e+01
  4.529580e-01   1.338319e+03   3.890389e+01
  4.555880e-01   1.330444e+03   3.860949e+01
  4.582190e-01   1.303318e+03   3.835728e+01
  4.608500e-01   1.270800e+03   3.799791e+01
  4.634810e-01   1.239169e+03   3.768070e+01
  4.661110e-01   1.227811e+03   3.749521e+01
  4.687420e-01   1.251913e+03   3.762088e+01
  4.713730e-01   1.271945e+03   3.763483e+01
  4.740040e-01   1.253619e+03   3.715223e+01
  4.766340e-01   1.199470e+03   3.664763e+01
  4.792650e-01   1.206882e+03   3.668954e+01
  4.818960e-01   1.158747e+03   3.629987e+01
  4.845270e-01   1.134916e+03   3.626688e+01
  4.871570e-01   1.121914e+03   3.589547e+01
  4.897880e-01   1.103851e+03   3.567428e+01
  4.924190e-01   1.126659e+03   3.588641e+01
  4.950500e-01   1.142807e+03   3.567014e+01
  4.976800e-01   1.145972e+03   3.561480e+01
  5.003110e-01   1.134355e+03   3.512824e+01
  5.029420e-01   1.096726e+03   3.508908e+01
  5.055730e-01   1.096060e+03   3.521392e+01
  5.082030e-01   1.096490e+03   3.494317e+01
  5.108340e-01   1.111617e+03   3.462900e+01
  5.134650e-01   1.102736e+03   3.469505e+01
  5.160960e-01   1.054845e+03   3.448290e+01
  5.187260e-01   1.014586e+03   3.445494e+01
  5.213570e-01   1.037404e+03   3.383621e+01
  5.239880e-01   1.066697e+03   3.404955e+01
  5.266190e-01   1.060332e+03   3.409662e+01
  5.292490e-01   1.039132e+03   3.449358e+01
  5.318800e-01   1.006328e+03   3.496285e+01
  5.345110e-01   1.018446e+03   3.492926e+01
  5.371420e-01   1.004520e+03   3.526764e+01
  5.397720e-01   9.440457e+02   3.508796e+01
  5.424030e-01   9.839928e+02   3.522910e+01
  5.450340e-01   9.487769e+02   3.497709e+01
  5.476650e-01   9.593646e+02   3.461900e+01
  5.502950e-01   9.579345e+02   3.412965e+01
  5.529260e-01   9.286238e+02   3.365657e+01
  5.555570e-01   9.631162e+02   3.322990e+01
  5.581880e-01   9.519013e+02   3.348183e+01
  5.608180e-01   9.390098e+02   3.289736e+01
  5.634490e-01   8.974058e+02   3.282298e+01
  5.660800e-01   8.963955e+02   3.243515e+01
  5.687110e-01   8.998114e+02   3.230138e+01
  5.713420e-01   9.058141e+02   3.253947e+01
  5.739720e-01   8.721245e+02   3.207196e+01
  5.766030e-01   9.067447e+02   3.202457e+01
  5.792340e-01   8.902200e+02   3.188283e+01
  5.818650e-01   8.594491e+02   3.176005e+01
  5.844950e-01   8.631044e+02   3.169714e+01
  5.871260e-01   8.507942e+02   3.154582e+01
  5.897570e-01   8.620572e+02   3.137644e+01
  5.923880e-01   8.222125e+02   3.132399e+01
  5.950180e-01   7.806616e+02   3.111099e+01
  5.976490e-01   8.015844e+02   3.091351e+01
  6.002800e-01   7.844601e+02   3.093900e+01
  6.029110e-01   8.108643e+02   3.069887e+01
  6.055410e-01   7.770036e+02   3.058008e+01
  6.081720e-01   7.780362e+02   3.071950e+01
  6.108030e-01   7.249498e+02   3.021270e+01
  6.134340e-01   7.775653e+02   3.047361e+01
  6.160640e-01   7.823828e+02   3.042223e+01
  6.186950e-01   7.484216e+02   2.999757e+01
  6.213260e-01   7.654498e+02   3.005505e+01
  6.239570e-01   7.665507e+02   2.993740e+01
  6.265870e-01   7.995416e+02   3.030464e+01
  6.292180e-01   7.706310e+02   3.001342e+01
  6.318490e-01   7.235386e+02   2.946546e+01
  6.344800e-01   6.671847e+02   2.930621e+01
  6.371100e-01   6.831553e+02   2.944021e+01
  6.397410e-01   7.143814e+02   2.964764e+01
  6.423720e-01   7.001367e+02   2.935870e+01
  6.450030e-01   6.548351e+02   2.910375e+01
  6.476330e-01   6.922107e+02   2.924839e+01
  6.502640e-01   7.004383e+02   2.900732e+01
