 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.375735E+00  0.286647E+03  0.676457E+00
  0.378019E+00  0.281598E+03  0.678352E+00
  0.380304E+00  0.273911E+03  0.665841E+00
  0.382589E+00  0.269344E+03  0.663484E+00
  0.384873E+00  0.263283E+03  0.652660E+00
  0.387158E+00  0.258246E+03  0.645392E+00
  0.389442E+00  0.253442E+03  0.644537E+00
  0.391727E+00  0.247486E+03  0.630252E+00
  0.394011E+00  0.242830E+03  0.623746E+00
  0.396296E+00  0.239204E+03  0.621731E+00
  0.398580E+00  0.233853E+03  0.608723E+00
  0.400865E+00  0.229782E+03  0.614766E+00
  0.403150E+00  0.224605E+03  0.595122E+00
  0.405434E+00  0.220392E+03  0.597635E+00
  0.407719E+00  0.216702E+03  0.590313E+00
  0.410003E+00  0.211429E+03  0.583040E+00
  0.412288E+00  0.205530E+03  0.579836E+00
  0.414572E+00  0.200764E+03  0.564214E+00
  0.416857E+00  0.198566E+03  0.572058E+00
  0.419142E+00  0.194926E+03  0.559025E+00
  0.421426E+00  0.191335E+03  0.553940E+00
  0.423711E+00  0.186875E+03  0.551234E+00
  0.425995E+00  0.183869E+03  0.541503E+00
  0.428280E+00  0.180229E+03  0.543962E+00
  0.430564E+00  0.175989E+03  0.534292E+00
  0.432849E+00  0.172480E+03  0.526696E+00
  0.435133E+00  0.168760E+03  0.525994E+00
  0.437418E+00  0.165213E+03  0.515994E+00
  0.439703E+00  0.162101E+03  0.520812E+00
  0.441987E+00  0.158343E+03  0.505412E+00
  0.444272E+00  0.155609E+03  0.507382E+00
  0.446556E+00  0.152687E+03  0.500373E+00
  0.448841E+00  0.150123E+03  0.497921E+00
  0.451125E+00  0.146277E+03  0.491118E+00
  0.453410E+00  0.142262E+03  0.484438E+00
  0.455694E+00  0.139689E+03  0.486685E+00
  0.457979E+00  0.137909E+03  0.479527E+00
  0.460264E+00  0.135089E+03  0.477974E+00
  0.462548E+00  0.132788E+03  0.471560E+00
  0.464833E+00  0.129700E+03  0.465121E+00
  0.467117E+00  0.126603E+03  0.466985E+00
  0.469402E+00  0.124222E+03  0.457291E+00
  0.471686E+00  0.122128E+03  0.459331E+00
  0.473971E+00  0.119268E+03  0.450232E+00
  0.476256E+00  0.116681E+03  0.444617E+00
  0.478540E+00  0.114910E+03  0.450201E+00
  0.480825E+00  0.112682E+03  0.440249E+00
  0.483109E+00  0.110504E+03  0.441324E+00
  0.485394E+00  0.109756E+03  0.434572E+00
  0.487678E+00  0.108308E+03  0.434493E+00
  0.489963E+00  0.104211E+03  0.429190E+00
  0.492247E+00  0.101314E+03  0.420766E+00
  0.494532E+00  0.996686E+02  0.426476E+00
  0.496817E+00  0.976653E+02  0.416400E+00
  0.499101E+00  0.962988E+02  0.417681E+00
  0.501386E+00  0.950003E+02  0.416019E+00
  0.503670E+00  0.926971E+02  0.406983E+00
  0.505955E+00  0.909452E+02  0.411460E+00
  0.508239E+00  0.887319E+02  0.400588E+00
  0.510524E+00  0.873634E+02  0.403247E+00
  0.512808E+00  0.851731E+02  0.400442E+00
  0.515093E+00  0.835777E+02  0.395960E+00
  0.517378E+00  0.820205E+02  0.395702E+00
  0.519662E+00  0.800822E+02  0.387311E+00
  0.521947E+00  0.781214E+02  0.389656E+00
