Sample description: TG2 GDP
Sample: TG2 GDP  c= 5.5000 mg/ml  Code: TG2_clos
Parent(s): processed/subtracted/TG2_clos_0019_sub.dat
  3.466330e-01   1.214263e+03   2.443845e+01
  3.492680e-01   1.217177e+03   2.465395e+01
  3.519020e-01   1.214371e+03   2.450378e+01
  3.545370e-01   1.205661e+03   2.437891e+01
  3.571720e-01   1.172850e+03   2.415933e+01
  3.598060e-01   1.209933e+03   2.491398e+01
  3.624410e-01   1.154235e+03   2.483244e+01
  3.650760e-01   1.148167e+03   2.480131e+01
  3.677100e-01   1.138990e+03   2.506658e+01
  3.703450e-01   1.163648e+03   2.533035e+01
  3.729800e-01   1.154955e+03   2.540595e+01
  3.756140e-01   1.128403e+03   2.542833e+01
  3.782490e-01   1.146267e+03   2.538053e+01
  3.808840e-01   1.136272e+03   2.559000e+01
  3.835180e-01   1.126132e+03   2.534924e+01
  3.861530e-01   1.114303e+03   2.566142e+01
  3.887880e-01   1.132454e+03   2.588504e+01
  3.914220e-01   1.123151e+03   2.554064e+01
  3.940570e-01   1.080349e+03   2.545820e+01
  3.966910e-01   1.112155e+03   2.559627e+01
  3.993260e-01   1.087889e+03   2.551602e+01
  4.019610e-01   1.081857e+03   2.532104e+01
  4.045950e-01   1.066991e+03   2.537827e+01
  4.072300e-01   1.084858e+03   2.582504e+01
  4.098650e-01   1.057314e+03   2.524353e+01
  4.124990e-01   1.039335e+03   2.496131e+01
  4.151340e-01   1.030712e+03   2.413033e+01
  4.177690e-01   1.040859e+03   2.392356e+01
  4.204030e-01   1.014207e+03   2.342991e+01
  4.230380e-01   9.971391e+02   2.284835e+01
  4.256730e-01   9.920424e+02   2.283853e+01
  4.283070e-01   9.840813e+02   2.236431e+01
  4.309420e-01   9.896435e+02   2.249464e+01
  4.335770e-01   9.857787e+02   2.249265e+01
  4.362110e-01   9.287029e+02   2.149400e+01
  4.388460e-01   9.380816e+02   2.164098e+01
  4.414810e-01   9.874707e+02   2.178855e+01
  4.441150e-01   9.537616e+02   2.154116e+01
  4.467500e-01   9.507936e+02   2.136969e+01
  4.493850e-01   9.447089e+02   2.114447e+01
  4.520190e-01   9.207822e+02   2.094345e+01
  4.546540e-01   9.135924e+02   2.062451e+01
  4.572890e-01   9.199291e+02   2.085189e+01
  4.599230e-01   9.019187e+02   2.041518e+01
  4.625580e-01   8.862424e+02   2.021280e+01
  4.651930e-01   8.687211e+02   2.008625e+01
  4.678270e-01   8.675405e+02   1.976169e+01
  4.704620e-01   8.888585e+02   2.004027e+01
  4.730960e-01   9.203785e+02   2.015358e+01
  4.757310e-01   8.866807e+02   2.008009e+01
  4.783660e-01   8.617735e+02   1.969327e+01
  4.810000e-01   8.565238e+02   1.941676e+01
  4.836350e-01   8.540407e+02   1.948851e+01
  4.862700e-01   8.422336e+02   1.916176e+01
  4.889040e-01   8.471884e+02   1.938329e+01
  4.915390e-01   8.259473e+02   1.889731e+01
  4.941740e-01   8.229327e+02   1.886109e+01
  4.968080e-01   8.175880e+02   1.896653e+01
  4.994430e-01   7.855736e+02   1.858098e+01
  5.020780e-01   8.060705e+02   1.859698e+01
  5.047120e-01   8.235433e+02   1.857935e+01
  5.073470e-01   7.776173e+02   1.813771e+01
  5.099820e-01   7.715413e+02   1.819122e+01
  5.126160e-01   7.856531e+02   1.821331e+01
  5.152510e-01   7.768675e+02   1.800751e+01
  5.178860e-01   7.616256e+02   1.780112e+01
  5.205200e-01   7.417962e+02   1.757133e+01
  5.231550e-01   7.444838e+02   1.763165e+01
  5.257900e-01   7.589651e+02   1.770992e+01
  5.284240e-01   7.545796e+02   1.788991e+01
  5.310590e-01   7.350251e+02   1.780869e+01
  5.336940e-01   7.247869e+02   1.791181e+01
  5.363280e-01   7.331229e+02   1.794804e+01
  5.389630e-01   7.163744e+02   1.786325e+01
  5.415970e-01   6.797858e+02   1.768334e+01
  5.442320e-01   7.038313e+02   1.808068e+01
  5.468670e-01   7.004071e+02   1.797966e+01
  5.495010e-01   7.056702e+02   1.791187e+01
  5.521360e-01   6.841093e+02   1.756516e+01
  5.547710e-01   6.803711e+02   1.753367e+01
  5.574050e-01   6.937564e+02   1.754409e+01
  5.600400e-01   6.517275e+02   1.688681e+01
  5.626750e-01   6.513207e+02   1.676404e+01
  5.653090e-01   6.625562e+02   1.666806e+01
  5.679440e-01   6.403529e+02   1.637087e+01
  5.705790e-01   6.397413e+02   1.617634e+01
  5.732130e-01   6.467240e+02   1.618503e+01
  5.758480e-01   6.376222e+02   1.609606e+01
  5.784830e-01   6.465331e+02   1.612990e+01
  5.811170e-01   6.339520e+02   1.580570e+01
  5.837520e-01   6.215642e+02   1.572363e+01
  5.863870e-01   6.354338e+02   1.590072e+01
  5.890210e-01   6.090455e+02   1.557977e+01
  5.916560e-01   6.384218e+02   1.574660e+01
  5.942910e-01   6.246160e+02   1.554934e+01
  5.969250e-01   6.199393e+02   1.552017e+01
  5.995600e-01   5.974387e+02   1.523887e+01
  6.021950e-01   6.097553e+02   1.530366e+01
  6.048290e-01   5.863471e+02   1.510446e+01
  6.074640e-01   5.790931e+02   1.491431e+01
  6.100980e-01   5.725300e+02   1.498301e+01
  6.127330e-01   5.565444e+02   1.457410e+01
  6.153680e-01   5.576493e+02   1.459500e+01
  6.180020e-01   5.589267e+02   1.460629e+01
  6.206370e-01   5.746040e+02   1.473122e+01
  6.232720e-01   5.588109e+02   1.464934e+01
  6.259060e-01   5.522958e+02   1.436697e+01
  6.285410e-01   5.296355e+02   1.418979e+01
  6.311760e-01   5.399653e+02   1.420794e+01
  6.338100e-01   5.307402e+02   1.408320e+01
  6.364450e-01   5.132631e+02   1.388675e+01
  6.390800e-01   5.178558e+02   1.380785e+01
  6.417140e-01   5.018945e+02   1.368624e+01
  6.443490e-01   5.023729e+02   1.358632e+01
  6.469840e-01   5.172613e+02   1.371026e+01
  6.496180e-01   4.984375e+02   1.346548e+01
  6.522530e-01   5.014544e+02   1.340695e+01
  6.548880e-01   4.909729e+02   1.339655e+01
  6.575220e-01   5.055605e+02   1.333500e+01
  6.601570e-01   4.960995e+02   1.328329e+01
  6.627920e-01   4.644369e+02   1.285173e+01
  6.654260e-01   4.728118e+02   1.298964e+01
  6.680610e-01   4.627240e+02   1.296460e+01
  6.706960e-01   4.784358e+02   1.300061e+01
  6.733300e-01   4.743860e+02   1.304622e+01
  6.759650e-01   4.789133e+02   1.295182e+01
  6.786000e-01   4.561118e+02   1.277937e+01
  6.812340e-01   4.517529e+02   1.271609e+01
  6.838690e-01   4.467925e+02   1.258329e+01
  6.865030e-01   4.550391e+02   1.281786e+01
  6.891380e-01   4.468409e+02   1.254143e+01
  6.917730e-01   4.419524e+02   1.260417e+01
  6.944070e-01   4.300742e+02   1.240832e+01
  6.970420e-01   4.285115e+02   1.231507e+01
  6.996770e-01   4.231013e+02   1.236727e+01
  7.023110e-01   4.317125e+02   1.223707e+01
  7.049460e-01   4.201218e+02   1.218109e+01
  7.075810e-01   4.163109e+02   1.217683e+01
  7.102150e-01   4.206011e+02   1.212447e+01
  7.128500e-01   3.965598e+02   1.193475e+01
  7.154850e-01   4.025971e+02   1.179233e+01
  7.181190e-01   3.913649e+02   1.178171e+01
  7.207540e-01   3.789224e+02   1.158146e+01
  7.233890e-01   3.965202e+02   1.178083e+01
  7.260230e-01   3.889476e+02   1.164731e+01
  7.286580e-01   3.754845e+02   1.143754e+01
  7.312930e-01   3.690520e+02   1.144613e+01
  7.339270e-01   3.660787e+02   1.136944e+01
  7.365620e-01   3.716962e+02   1.139660e+01
  7.391970e-01   3.755295e+02   1.145047e+01
  7.418310e-01   3.782575e+02   1.139240e+01
  7.444660e-01   3.526589e+02   1.114178e+01
  7.471010e-01   3.306138e+02   1.078546e+01
  7.497350e-01   3.515491e+02   1.105669e+01
  7.523700e-01   3.526656e+02   1.105507e+01
  7.550040e-01   3.619887e+02   1.123041e+01
  7.576390e-01   3.649635e+02   1.145230e+01
  7.602740e-01   3.319025e+02   1.110684e+01
  7.629080e-01   3.426155e+02   1.136697e+01
  7.655430e-01   3.266060e+02   1.131867e+01
  7.681780e-01   3.324207e+02   1.143060e+01
  7.708120e-01   3.178622e+02   1.122681e+01
  7.734470e-01   3.055336e+02   1.115712e+01
  7.760820e-01   3.142242e+02   1.128450e+01
  7.787160e-01   3.148931e+02   1.126182e+01
  7.813510e-01   3.175315e+02   1.129957e+01
  7.839860e-01   3.215493e+02   1.118519e+01
  7.866200e-01   3.180811e+02   1.099688e+01
  7.892550e-01   3.174427e+02   1.089839e+01
  7.918900e-01   3.122840e+02   1.065550e+01
  7.945240e-01   3.060365e+02   1.053178e+01
  7.971590e-01   3.109236e+02   1.048991e+01
  7.997940e-01   3.052540e+02   1.048124e+01
  8.024280e-01   2.957075e+02   1.026571e+01
  8.050630e-01   2.891118e+02   1.014322e+01
  8.076980e-01   2.777691e+02   1.008936e+01
  8.103320e-01   2.906238e+02   1.009919e+01
  8.129670e-01   2.942067e+02   1.013909e+01
  8.156020e-01   2.835044e+02   9.937849e+00
  8.182360e-01   2.740487e+02   9.849320e+00
  8.208710e-01   2.818429e+02   1.001300e+01
  8.235050e-01   2.691755e+02   9.802791e+00
  8.261400e-01   2.703656e+02   9.801753e+00
  8.287750e-01   2.661949e+02   9.638989e+00
  8.314090e-01   2.646502e+02   9.711742e+00
  8.340440e-01   2.698393e+02   9.679093e+00
  8.366790e-01   2.572078e+02   9.479773e+00
  8.393130e-01   2.644224e+02   9.573436e+00
  8.419480e-01   2.579929e+02   9.413307e+00
  8.445830e-01   2.513709e+02   9.401487e+00
  8.472170e-01   2.518844e+02   9.360951e+00
  8.498520e-01   2.563260e+02   9.349755e+00
  8.524870e-01   2.416715e+02   9.200518e+00
  8.551210e-01   2.457393e+02   9.146456e+00
  8.577560e-01   2.461087e+02   9.182744e+00
  8.603910e-01   2.320391e+02   8.923576e+00
  8.630250e-01   2.314464e+02   8.968622e+00
  8.656600e-01   2.372273e+02   9.058200e+00
  8.682950e-01   2.325658e+02   8.937380e+00
  8.709290e-01   2.318760e+02   9.002716e+00
  8.735640e-01   2.269624e+02   8.809724e+00
  8.761990e-01   2.305898e+02   8.967225e+00
  8.788330e-01   2.136420e+02   8.793262e+00
  8.814680e-01   2.001382e+02   8.523849e+00
  8.841030e-01   2.243858e+02   8.845027e+00
  8.867370e-01   2.183209e+02   8.757771e+00
  8.893720e-01   2.179169e+02   8.796747e+00
  8.920070e-01   2.205795e+02   8.741767e+00
  8.946410e-01   2.019620e+02   8.502016e+00
  8.972760e-01   2.105636e+02   8.660935e+00
