Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: DCC56_hi
Parent(s): DCC56_hi_0058.dat DCC56_0006.dat DCC56_0004.dat DCC56_hi_0056.dat
  4.003420e-01   7.616403e+02   1.368888e+01
  4.029730e-01   7.315703e+02   1.380106e+01
  4.056040e-01   7.504415e+02   1.386612e+01
  4.082350e-01   7.383648e+02   1.381275e+01
  4.108650e-01   7.352176e+02   1.401680e+01
  4.134960e-01   7.355839e+02   1.394499e+01
  4.161270e-01   7.283812e+02   1.390802e+01
  4.187580e-01   7.110794e+02   1.402356e+01
  4.213880e-01   6.949597e+02   1.374780e+01
  4.240190e-01   7.113415e+02   1.409441e+01
  4.266500e-01   7.245497e+02   1.400112e+01
  4.292810e-01   7.088061e+02   1.399956e+01
  4.319120e-01   7.118364e+02   1.363164e+01
  4.345420e-01   7.051897e+02   1.330671e+01
  4.371730e-01   6.761688e+02   1.329715e+01
  4.398040e-01   7.063748e+02   1.307526e+01
  4.424350e-01   7.064467e+02   1.292422e+01
  4.450650e-01   6.734467e+02   1.272333e+01
  4.476960e-01   6.831821e+02   1.266852e+01
  4.503270e-01   6.611276e+02   1.268187e+01
  4.529580e-01   6.563730e+02   1.249834e+01
  4.555880e-01   6.590661e+02   1.248180e+01
  4.582190e-01   6.676794e+02   1.240901e+01
  4.608500e-01   6.521042e+02   1.223396e+01
  4.634810e-01   6.232967e+02   1.211086e+01
  4.661110e-01   6.275345e+02   1.214280e+01
  4.687420e-01   6.532845e+02   1.213866e+01
  4.713730e-01   6.404845e+02   1.211659e+01
  4.740040e-01   6.257642e+02   1.185777e+01
  4.766340e-01   6.234936e+02   1.183155e+01
  4.792650e-01   6.100661e+02   1.179720e+01
  4.818960e-01   6.142318e+02   1.163811e+01
  4.845270e-01   6.062282e+02   1.175172e+01
  4.871570e-01   6.400352e+02   1.173718e+01
  4.897880e-01   6.233567e+02   1.153840e+01
  4.924190e-01   5.834891e+02   1.151479e+01
