Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: LytAPhA
Parent(s): phage_zc.dat
 4.773640e-001  1.787160e+001  1.323000e-001
 4.800990e-001  1.723880e+001  1.291570e-001
 4.828340e-001  1.721420e+001  1.286020e-001
 4.855690e-001  1.705480e+001  1.286500e-001
 4.883040e-001  1.699540e+001  1.280060e-001
 4.910390e-001  1.664060e+001  1.248730e-001
 4.937740e-001  1.634900e+001  1.247930e-001
 4.965090e-001  1.637420e+001  1.250340e-001
 4.992450e-001  1.630540e+001  1.252460e-001
 5.019800e-001  1.597520e+001  1.224760e-001
 5.047150e-001  1.598890e+001  1.238320e-001
 5.074500e-001  1.586340e+001  1.220980e-001
 5.101850e-001  1.573420e+001  1.216170e-001
 5.129200e-001  1.564940e+001  1.204990e-001
 5.156550e-001  1.557390e+001  1.200670e-001
 5.183900e-001  1.532970e+001  1.195870e-001
 5.211250e-001  1.526030e+001  1.200730e-001
 5.238600e-001  1.507620e+001  1.191560e-001
 5.265950e-001  1.492810e+001  1.167500e-001
 5.293310e-001  1.485030e+001  1.166400e-001
 5.320660e-001  1.477450e+001  1.163780e-001
 5.348010e-001  1.464520e+001  1.162180e-001
 5.375360e-001  1.438680e+001  1.146610e-001
 5.402710e-001  1.433980e+001  1.140710e-001
 5.430060e-001  1.426050e+001  1.143140e-001
 5.457410e-001  1.419980e+001  1.142630e-001
 5.484760e-001  1.395080e+001  1.119390e-001
 5.512110e-001  1.406670e+001  1.132080e-001
 5.539460e-001  1.403310e+001  1.117570e-001
 5.566810e-001  1.403460e+001  1.131140e-001
 5.594160e-001  1.406070e+001  1.116320e-001
 5.621520e-001  1.368150e+001  1.096630e-001
 5.648870e-001  1.345630e+001  1.113630e-001
 5.676220e-001  1.350770e+001  1.091550e-001
 5.703570e-001  1.349050e+001  1.107360e-001
 5.730920e-001  1.324660e+001  1.082590e-001
 5.758270e-001  1.296340e+001  1.054270e-001
 5.785620e-001  1.331800e+001  1.084810e-001
 5.812970e-001  1.277210e+001  1.045620e-001
 5.840320e-001  1.314410e+001  1.099490e-001
 5.867670e-001  1.269420e+001  1.051670e-001
 5.895020e-001  1.291920e+001  1.072470e-001
 5.922380e-001  1.270120e+001  1.068400e-001
 5.949730e-001  1.271430e+001  1.038640e-001
 5.977080e-001  1.278080e+001  1.062670e-001
 6.004430e-001  1.271090e+001  1.044660e-001
 6.031780e-001  1.269590e+001  1.056930e-001
 6.059130e-001  1.252430e+001  1.052370e-001
 6.086480e-001  1.256270e+001  1.057000e-001
 6.113830e-001  1.256040e+001  1.056680e-001
 6.141180e-001  1.236220e+001  1.045130e-001
 6.168530e-001  1.216750e+001  1.020450e-001
 6.195880e-001  1.205740e+001  1.010680e-001
 6.223230e-001  1.215480e+001  1.048890e-001
 6.250590e-001  1.219460e+001  1.041440e-001
 6.277940e-001  1.151570e+001  9.591030e-002
 6.305290e-001  1.194630e+001  1.006570e-001
 6.332640e-001  1.208920e+001  1.024140e-001
 6.359990e-001  1.192970e+001  1.010750e-001
 6.387340e-001  1.191370e+001  1.022100e-001
 6.414690e-001  1.172670e+001  9.892260e-002
 6.442040e-001  1.143220e+001  9.692420e-002
 6.469390e-001  1.148660e+001  9.834470e-002
 6.496740e-001  1.171010e+001  1.009360e-001
 6.524090e-001  1.114910e+001  9.565770e-002
 6.551440e-001  1.161460e+001  9.948330e-002
 6.578800e-001  1.137990e+001  9.906000e-002
 6.606150e-001  1.131120e+001  9.828040e-002
 6.633500e-001  1.136910e+001  9.768850e-002
 6.660850e-001  1.128880e+001  9.654730e-002
 6.688200e-001  1.117400e+001  9.720500e-002
 6.715550e-001  1.133570e+001  9.868550e-002
 6.742900e-001  1.111850e+001  9.638270e-002
 6.770250e-001  1.097570e+001  9.552480e-002
 6.797600e-001  1.102050e+001  9.566170e-002
 6.824950e-001  1.106630e+001  9.721540e-002
 6.852300e-001  1.090710e+001  9.513840e-002
 6.879660e-001  1.113250e+001  9.707820e-002
 6.907010e-001  1.073270e+001  9.488250e-002
 6.934360e-001  1.075440e+001  9.399700e-002
 6.961710e-001  1.089970e+001  9.581450e-002
 6.989060e-001  1.095310e+001  9.609570e-002
 7.016410e-001  1.062040e+001  9.370120e-002
 7.043760e-001  1.084710e+001  9.647480e-002
 7.071110e-001  1.071640e+001  9.321600e-002
 7.098460e-001  1.046990e+001  9.345750e-002
 7.125810e-001  1.048420e+001  9.316330e-002
 7.153160e-001  1.046890e+001  9.243020e-002
 7.180510e-001  9.891520e+000  8.848300e-002
 7.207870e-001  1.044950e+001  9.324430e-002
 7.235220e-001  1.025470e+001  9.167950e-002
 7.262570e-001  1.006970e+001  9.077400e-002
 7.289920e-001  1.009270e+001  8.977960e-002
 7.317270e-001  1.013240e+001  9.035950e-002
 7.344620e-001  1.024890e+001  9.048730e-002
 7.371970e-001  1.003900e+001  9.112760e-002
 7.399320e-001  9.875310e+000  8.931160e-002
 7.426670e-001  1.012930e+001  9.126790e-002
 7.454020e-001  9.931810e+000  8.978630e-002
 7.481370e-001  1.002760e+001  8.989650e-002
 7.508720e-001  9.856860e+000  8.984380e-002
 7.536080e-001  9.948130e+000  8.928290e-002
 7.563430e-001  9.805490e+000  8.882370e-002
 7.590780e-001  9.971600e+000  9.057830e-002
 7.618130e-001  1.001020e+001  9.134140e-002
 7.645480e-001  9.665000e+000  8.807650e-002
 7.672830e-001  9.612750e+000  8.828920e-002
 7.700180e-001  9.558020e+000  8.821970e-002
 7.727530e-001  9.397750e+000  8.718420e-002
 7.754880e-001  9.319830e+000  8.649780e-002
 7.782230e-001  9.484690e+000  8.698990e-002
 7.809580e-001  9.425140e+000  8.725670e-002
 7.836940e-001  9.228040e+000  8.568680e-002
 7.864290e-001  9.028040e+000  8.392970e-002
 7.891640e-001  9.125790e+000  8.557890e-002
 7.918990e-001  9.128870e+000  8.485710e-002
 7.946340e-001  9.273110e+000  8.737220e-002
 7.973690e-001  8.951710e+000  8.400250e-002
 8.001040e-001  8.998460e+000  8.425440e-002
 8.028390e-001  9.072400e+000  8.507340e-002
 8.055740e-001  8.924840e+000  8.436690e-002
 8.083090e-001  8.859570e+000  8.561480e-002
 8.110440e-001  9.030120e+000  8.691140e-002
 8.137790e-001  8.731320e+000  8.504900e-002
 8.165150e-001  8.976100e+000  8.510510e-002
 8.192500e-001  8.774530e+000  8.628900e-002
