 24-Sep-2012       (cyn_056.dat - 1.0*Aver(cyn_055.dat,cyn_057.dat) /  5.0230 
 cyn_056.dat  Conc = .50E+01  N1 =    1  N2 = 2168
 cyn_055.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
 cyn_057.dat  Conc = 0.0d+0   N1 =    1  N2 = 2168
  0.417944E+00  0.161022E+02  0.157811E+00
  0.420678E+00  0.157911E+02  0.152611E+00
  0.423413E+00  0.160195E+02  0.155723E+00
  0.426147E+00  0.156653E+02  0.150243E+00
  0.428881E+00  0.156042E+02  0.153357E+00
  0.431615E+00  0.153668E+02  0.151404E+00
  0.434349E+00  0.153093E+02  0.149127E+00
  0.437083E+00  0.150608E+02  0.150935E+00
  0.439817E+00  0.150887E+02  0.148278E+00
  0.442551E+00  0.151042E+02  0.149435E+00
  0.445285E+00  0.147537E+02  0.145267E+00
  0.448019E+00  0.149127E+02  0.146969E+00
  0.450753E+00  0.145680E+02  0.146916E+00
  0.453487E+00  0.146740E+02  0.145386E+00
  0.456221E+00  0.144166E+02  0.145802E+00
  0.458955E+00  0.145176E+02  0.142501E+00
  0.461689E+00  0.142349E+02  0.144002E+00
  0.464423E+00  0.139735E+02  0.142956E+00
  0.467157E+00  0.142062E+02  0.140728E+00
  0.469891E+00  0.141345E+02  0.143602E+00
  0.472625E+00  0.139292E+02  0.140400E+00
  0.475359E+00  0.138488E+02  0.141123E+00
  0.478093E+00  0.135785E+02  0.138288E+00
  0.480827E+00  0.134950E+02  0.138007E+00
  0.483561E+00  0.132072E+02  0.139535E+00
  0.486296E+00  0.133295E+02  0.136695E+00
  0.489030E+00  0.130367E+02  0.137575E+00
  0.491764E+00  0.132338E+02  0.135906E+00
  0.494498E+00  0.129994E+02  0.134520E+00
  0.497232E+00  0.130710E+02  0.136800E+00
  0.499966E+00  0.130180E+02  0.134859E+00
  0.502700E+00  0.128663E+02  0.133233E+00
  0.505434E+00  0.128484E+02  0.133265E+00
  0.508168E+00  0.127011E+02  0.134140E+00
  0.510902E+00  0.127679E+02  0.134626E+00
  0.513636E+00  0.125706E+02  0.131596E+00
  0.516370E+00  0.125045E+02  0.132979E+00
  0.519104E+00  0.124490E+02  0.132494E+00
  0.521838E+00  0.122621E+02  0.132433E+00
  0.524572E+00  0.122831E+02  0.131930E+00
  0.527306E+00  0.122599E+02  0.130004E+00
  0.530040E+00  0.122890E+02  0.131969E+00
  0.532774E+00  0.120831E+02  0.128342E+00
  0.535508E+00  0.121966E+02  0.130715E+00
  0.538242E+00  0.119755E+02  0.130530E+00
  0.540976E+00  0.119939E+02  0.128916E+00
  0.543710E+00  0.117501E+02  0.128961E+00
  0.546445E+00  0.116978E+02  0.127512E+00
  0.549179E+00  0.116255E+02  0.127328E+00
  0.551913E+00  0.115729E+02  0.125963E+00
  0.554647E+00  0.114457E+02  0.127022E+00
  0.557381E+00  0.115632E+02  0.127236E+00
  0.560115E+00  0.113757E+02  0.123740E+00
  0.562849E+00  0.113437E+02  0.124604E+00
