Sample description: m7_hsa
Sample: m7_hsa  c= .0000 mg/ml  Code: m7_hsa
Parent(s): C:/Users/jeffries/AppData/Local/Temp/qt_temp.Yd7788 C:/Users/jeffries/AppData/Local/Temp/qt_temp.cd7788
 4.836350e-001  2.858666e+002  4.235498e+000
 4.862700e-001  2.808557e+002  4.142594e+000
 4.889040e-001  2.848360e+002  4.228568e+000
 4.915390e-001  2.721259e+002  4.134276e+000
 4.941740e-001  2.747227e+002  4.117677e+000
 4.968080e-001  2.730245e+002  4.177123e+000
 4.994430e-001  2.714096e+002  4.138880e+000
 5.020780e-001  2.738112e+002  4.110119e+000
 5.047120e-001  2.703956e+002  4.064221e+000
 5.073470e-001  2.678165e+002  4.060117e+000
 5.099820e-001  2.697119e+002  4.074553e+000
 5.126160e-001  2.602555e+002  4.037155e+000
 5.152510e-001  2.613321e+002  4.018829e+000
 5.178860e-001  2.520603e+002  3.990657e+000
 5.205200e-001  2.556615e+002  3.997923e+000
 5.231550e-001  2.506073e+002  3.994382e+000
 5.257900e-001  2.463894e+002  3.950953e+000
 5.284240e-001  2.458309e+002  4.011989e+000
 5.310590e-001  2.506217e+002  4.052842e+000
 5.336940e-001  2.475896e+002  4.096875e+000
 5.363280e-001  2.373381e+002  4.066727e+000
 5.389630e-001  2.461948e+002  4.093908e+000
 5.415970e-001  2.510281e+002  4.157149e+000
 5.442320e-001  2.303502e+002  4.180649e+000
 5.468670e-001  2.403688e+002  4.135397e+000
 5.495010e-001  2.382688e+002  4.122010e+000
 5.521360e-001  2.320485e+002  4.090750e+000
 5.547710e-001  2.282092e+002  4.097423e+000
 5.574050e-001  2.341842e+002  4.062096e+000
 5.600400e-001  2.291852e+002  3.990509e+000
 5.626750e-001  2.274681e+002  3.969419e+000
 5.653090e-001  2.268818e+002  3.925042e+000
 5.679440e-001  2.226514e+002  3.891230e+000
 5.705790e-001  2.187431e+002  3.838950e+000
 5.732130e-001  2.208277e+002  3.839099e+000
 5.758480e-001  2.166699e+002  3.826615e+000
 5.784830e-001  2.114446e+002  3.808051e+000
 5.811170e-001  2.127471e+002  3.758800e+000
 5.837520e-001  2.085866e+002  3.772334e+000
 5.863870e-001  2.057603e+002  3.773858e+000
 5.890210e-001  2.119739e+002  3.767329e+000
 5.916560e-001  2.034642e+002  3.723425e+000
 5.942910e-001  2.039245e+002  3.705065e+000
 5.969250e-001  2.041469e+002  3.721765e+000
 5.995600e-001  2.041671e+002  3.686107e+000
 6.021950e-001  2.004892e+002  3.674320e+000
 6.048290e-001  1.993452e+002  3.689879e+000
 6.074640e-001  1.997383e+002  3.646785e+000
 6.100980e-001  1.962934e+002  3.695389e+000
 6.127330e-001  1.861515e+002  3.601155e+000
 6.153680e-001  1.891443e+002  3.617258e+000
 6.180020e-001  1.859850e+002  3.613712e+000
 6.206370e-001  1.898211e+002  3.610998e+000
 6.232720e-001  1.828638e+002  3.617867e+000
 6.259060e-001  1.852426e+002  3.548856e+000
 6.285410e-001  1.756610e+002  3.572144e+000
 6.311760e-001  1.788783e+002  3.545051e+000
 6.338100e-001  1.807327e+002  3.545314e+000
 6.364450e-001  1.777549e+002  3.539244e+000
 6.390800e-001  1.745286e+002  3.484749e+000
 6.417140e-001  1.764774e+002  3.519074e+000
 6.443490e-001  1.702218e+002  3.475829e+000
 6.469840e-001  1.746872e+002  3.474412e+000
 6.496180e-001  1.680337e+002  3.455035e+000
 6.522530e-001  1.669084e+002  3.422381e+000
 6.548880e-001  1.683771e+002  3.462004e+000
 6.575220e-001  1.639346e+002  3.379079e+000
 6.601570e-001  1.631252e+002  3.411364e+000
 6.627920e-001  1.646754e+002  3.384374e+000
 6.654260e-001  1.618363e+002  3.376716e+000
 6.680610e-001  1.631015e+002  3.434931e+000
 6.706960e-001  1.508119e+002  3.352775e+000
 6.733300e-001  1.523565e+002  3.386490e+000
 6.759650e-001  1.517786e+002  3.351875e+000
 6.786000e-001  1.555938e+002  3.380945e+000
 6.812340e-001  1.537859e+002  3.369976e+000
 6.838690e-001  1.471675e+002  3.319878e+000
 6.865030e-001  1.512949e+002  3.387388e+000
 6.891380e-001  1.463412e+002  3.310986e+000
 6.917730e-001  1.508380e+002  3.364216e+000
 6.944070e-001  1.444446e+002  3.323136e+000
 6.970420e-001  1.478630e+002  3.302877e+000
 6.996770e-001  1.410776e+002  3.348999e+000
 7.023110e-001  1.390373e+002  3.268954e+000
 7.049460e-001  1.382248e+002  3.295250e+000
 7.075810e-001  1.320228e+002  3.296212e+000
 7.102150e-001  1.313407e+002  3.251271e+000
 7.128500e-001  1.348827e+002  3.298453e+000
 7.154850e-001  1.376254e+002  3.227052e+000
 7.181190e-001  1.285102e+002  3.264407e+000
 7.207540e-001  1.322012e+002  3.218257e+000
 7.233890e-001  1.331411e+002  3.253374e+000
 7.260230e-001  1.246166e+002  3.222331e+000
 7.286580e-001  1.284331e+002  3.201717e+000
 7.312930e-001  1.299236e+002  3.225665e+000
 7.339270e-001  1.215698e+002  3.197670e+000
 7.365620e-001  1.192651e+002  3.189731e+000
 7.391970e-001  1.197757e+002  3.197733e+000
 7.418310e-001  1.207689e+002  3.172864e+000
 7.444660e-001  1.211977e+002  3.193356e+000
 7.471010e-001  1.142570e+002  3.143695e+000
 7.497350e-001  1.155294e+002  3.160825e+000
 7.523700e-001  1.187174e+002  3.147392e+000
 7.550040e-001  1.130688e+002  3.179446e+000
 7.576390e-001  1.174996e+002  3.241562e+000
 7.602740e-001  1.133514e+002  3.232002e+000
 7.629080e-001  1.121240e+002  3.275781e+000
 7.655430e-001  1.110741e+002  3.299620e+000
 7.681780e-001  1.058456e+002  3.318168e+000
 7.708120e-001  1.052408e+002  3.298136e+000
 7.734470e-001  1.132627e+002  3.329833e+000
 7.760820e-001  1.032708e+002  3.329280e+000
 7.787160e-001  1.043468e+002  3.303497e+000
 7.813510e-001  9.740780e+001  3.325988e+000
 7.839860e-001  9.891790e+001  3.264379e+000
 7.866200e-001  9.986240e+001  3.211886e+000
 7.892550e-001  9.419370e+001  3.189457e+000
 7.918900e-001  9.194450e+001  3.132773e+000
 7.945240e-001  9.447570e+001  3.130767e+000
 7.971590e-001  9.535670e+001  3.083548e+000
 7.997940e-001  9.289830e+001  3.113486e+000
 8.024280e-001  9.239300e+001  3.077338e+000
 8.050630e-001  9.156690e+001  3.068075e+000
 8.076980e-001  8.731720e+001  3.063294e+000
 8.103320e-001  9.432670e+001  3.051258e+000
 8.129670e-001  8.814730e+001  3.042409e+000
 8.156020e-001  8.781280e+001  3.022285e+000
 8.182360e-001  8.199650e+001  3.016691e+000
 8.208710e-001  8.908770e+001  3.035857e+000
 8.235050e-001  7.994450e+001  3.011325e+000
 8.261400e-001  7.723910e+001  2.998996e+000
 8.287750e-001  8.110430e+001  2.982098e+000
 8.314090e-001  7.873100e+001  3.008758e+000
 8.340440e-001  8.163300e+001  2.987233e+000
 8.366790e-001  7.663270e+001  2.970682e+000
 8.393130e-001  7.872520e+001  2.966444e+000
 8.419480e-001  7.880740e+001  2.934358e+000
 8.445830e-001  7.236330e+001  2.957895e+000
 8.472170e-001  6.983960e+001  2.927196e+000
 8.498520e-001  7.592190e+001  2.903204e+000
 8.524870e-001  6.998240e+001  2.918544e+000
 8.551210e-001  6.978390e+001  2.890180e+000
 8.577560e-001  7.443730e+001  2.909117e+000
 8.603910e-001  6.979650e+001  2.867968e+000
 8.630250e-001  6.725220e+001  2.883049e+000
 8.656600e-001  6.839500e+001  2.889665e+000
 8.682950e-001  7.013780e+001  2.856347e+000
 8.709290e-001  6.922660e+001  2.900728e+000
 8.735640e-001  6.442940e+001  2.843232e+000
 8.761990e-001  6.497170e+001  2.865550e+000
 8.788330e-001  6.651450e+001  2.888085e+000
 8.814680e-001  6.088430e+001  2.849316e+000
 8.841030e-001  6.601920e+001  2.884400e+000
 8.867370e-001  6.138340e+001  2.846294e+000
 8.893720e-001  6.368410e+001  2.865890e+000
 8.920070e-001  6.429100e+001  2.844315e+000
 8.946410e-001  5.872710e+001  2.821382e+000
 8.972760e-001  6.342190e+001  2.855459e+000
 8.999100e-001  5.727960e+001  2.813039e+000
 9.025450e-001  6.034520e+001  2.846881e+000
 9.051800e-001  5.484270e+001  2.804343e+000
 9.078140e-001  5.616440e+001  2.803979e+000
 9.104490e-001  5.376700e+001  2.816420e+000
 9.130840e-001  5.907700e+001  2.799231e+000
 9.157180e-001  5.323570e+001  2.822197e+000
 9.183530e-001  5.567610e+001  2.854729e+000
 9.209880e-001  5.381290e+001  2.898680e+000
 9.236220e-001  5.251900e+001  2.922983e+000
 9.262570e-001  4.645970e+001  2.898974e+000
 9.288920e-001  4.961050e+001  2.956809e+000
 9.315260e-001  5.169150e+001  2.933225e+000
 9.341610e-001  4.702110e+001  2.978191e+000
 9.367960e-001  5.273620e+001  2.971566e+000
 9.394300e-001  4.595590e+001  2.952296e+000
 9.420650e-001  4.684450e+001  2.997515e+000
 9.447000e-001  4.982370e+001  2.990020e+000
 9.473340e-001  4.446250e+001  3.034418e+000
 9.499690e-001  4.753700e+001  2.976417e+000
 9.526040e-001  5.535310e+001  3.020413e+000
